SearchBayesianSkopt: Config 11 is suboptimal. Config: {'UCM_age': 0.5627632234273786, 'UCM_region': 0.703734085247275, 'UCM_user_act': 0.5355878725568605, 'UCM_sub_class': 1.2342839274635955, 'UCM_item_pop': 1.7922587135133692, 'UCM_asset': 1.4485116184338132, 'UCM_price': 1.4385692959758196} - results: ROC_AUC: 0.1011076, PRECISION: 0.0163835, PRECISION_RECALL_MIN_DEN: 0.0546117, RECALL: 0.0546117, MAP: 0.0258635, MRR: 0.0712260, NDCG: 0.0447425, F1: 0.0252054, HIT_RATE: 0.1638352, ARHR: 0.0743719, RMSE: 6.1539616, NOVELTY: 0.0058387, AVERAGE_POPULARITY: 0.4286061, DIVERSITY_MEAN_INTER_LIST: 0.9621223, DIVERSITY_HERFINDAHL: 0.9962063, COVERAGE_ITEM: 0.4722898, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1482453, SHANNON_ENTROPY: 9.8298883, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'UCM_age': 0.8048812987293819, 'UCM_region': 1.0517410742069149, 'UCM_user_act': 0.1971333071949422, 'UCM_sub_class': 0.12784459091396141, 'UCM_item_pop': 1.3407018240882358, 'UCM_asset': 1.3084328958712266, 'UCM_price': 1.8011093110241843} - results: ROC_AUC: 0.0811234, PRECISION: 0.0132946, PRECISION_RECALL_MIN_DEN: 0.0443154, RECALL: 0.0443154, MAP: 0.0211059, MRR: 0.0583905, NDCG: 0.0364393, F1: 0.0204533, HIT_RATE: 0.1329462, ARHR: 0.0608242, RMSE: 4.6326179, NOVELTY: 0.0057869, AVERAGE_POPULARITY: 0.4490183, DIVERSITY_MEAN_INTER_LIST: 0.9566785, DIVERSITY_HERFINDAHL: 0.9956619, COVERAGE_ITEM: 0.4803460, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1362745, SHANNON_ENTROPY: 9.6078781, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'UCM_age': 0.05292681148056301, 'UCM_region': 1.6156211546861061, 'UCM_user_act': 0.10970663605248523, 'UCM_sub_class': 1.9873720701947122, 'UCM_item_pop': 1.6633705426865864, 'UCM_asset': 1.8332887904156725, 'UCM_price': 0.9165144457409184} - results: ROC_AUC: 0.1007760, PRECISION: 0.0165627, PRECISION_RECALL_MIN_DEN: 0.0552089, RECALL: 0.0552089, MAP: 0.0255013, MRR: 0.0702143, NDCG: 0.0445428, F1: 0.0254810, HIT_RATE: 0.1656267, ARHR: 0.0733152, RMSE: 6.8938016, NOVELTY: 0.0059060, AVERAGE_POPULARITY: 0.4083002, DIVERSITY_MEAN_INTER_LIST: 0.9662411, DIVERSITY_HERFINDAHL: 0.9966181, COVERAGE_ITEM: 0.4737497, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1608525, SHANNON_ENTROPY: 10.0351876, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'UCM_age': 0.8165413288616323, 'UCM_region': 0.15381271136178024, 'UCM_user_act': 0.6357660988806494, 'UCM_sub_class': 1.2997942284477966, 'UCM_item_pop': 1.8471502478992425, 'UCM_asset': 0.7965664424885279, 'UCM_price': 1.159405666189373} - results: ROC_AUC: 0.1043484, PRECISION: 0.0168839, PRECISION_RECALL_MIN_DEN: 0.0562797, RECALL: 0.0562797, MAP: 0.0266922, MRR: 0.0734312, NDCG: 0.0461363, F1: 0.0259753, HIT_RATE: 0.1688392, ARHR: 0.0767032, RMSE: 5.3262197, NOVELTY: 0.0057969, AVERAGE_POPULARITY: 0.4364065, DIVERSITY_MEAN_INTER_LIST: 0.9605754, DIVERSITY_HERFINDAHL: 0.9960516, COVERAGE_ITEM: 0.4360638, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1424083, SHANNON_ENTROPY: 9.7114850, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'UCM_age': 1.8799184895528807, 'UCM_region': 1.675614037189191, 'UCM_user_act': 0.11750645446422106, 'UCM_sub_class': 1.1743592437702468, 'UCM_item_pop': 1.232290889529949, 'UCM_asset': 1.7906501796984309, 'UCM_price': 1.0112112009268186} - results: ROC_AUC: 0.1034627, PRECISION: 0.0168098, PRECISION_RECALL_MIN_DEN: 0.0560326, RECALL: 0.0560326, MAP: 0.0266508, MRR: 0.0734056, NDCG: 0.0460108, F1: 0.0258612, HIT_RATE: 0.1680979, ARHR: 0.0766402, RMSE: 5.6584094, NOVELTY: 0.0057903, AVERAGE_POPULARITY: 0.4417943, DIVERSITY_MEAN_INTER_LIST: 0.9585595, DIVERSITY_HERFINDAHL: 0.9958500, COVERAGE_ITEM: 0.4536902, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1402700, SHANNON_ENTROPY: 9.6896201, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'UCM_age': 0.3046052520528711, 'UCM_region': 1.858746786561005, 'UCM_user_act': 1.3557873096327515, 'UCM_sub_class': 1.0437021280704755, 'UCM_item_pop': 1.437440004833288, 'UCM_asset': 1.1374335771963653, 'UCM_price': 0.40873693148942836} - results: ROC_AUC: 0.1057424, PRECISION: 0.0171805, PRECISION_RECALL_MIN_DEN: 0.0572682, RECALL: 0.0572682, MAP: 0.0272529, MRR: 0.0747871, NDCG: 0.0469943, F1: 0.0264315, HIT_RATE: 0.1718045, ARHR: 0.0782136, RMSE: 4.3271301, NOVELTY: 0.0057181, AVERAGE_POPULARITY: 0.4595904, DIVERSITY_MEAN_INTER_LIST: 0.9545563, DIVERSITY_HERFINDAHL: 0.9954497, COVERAGE_ITEM: 0.4040011, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1307773, SHANNON_ENTROPY: 9.4678538, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'UCM_age': 1.1975332705629647, 'UCM_region': 0.32293555622663966, 'UCM_user_act': 0.9183002622690319, 'UCM_sub_class': 0.18908389053133817, 'UCM_item_pop': 0.3355615148093443, 'UCM_asset': 0.9060630018513924, 'UCM_price': 0.9036883183565636} - results: ROC_AUC: 0.1000067, PRECISION: 0.0162167, PRECISION_RECALL_MIN_DEN: 0.0540557, RECALL: 0.0540557, MAP: 0.0263851, MRR: 0.0722937, NDCG: 0.0450156, F1: 0.0249488, HIT_RATE: 0.1621672, ARHR: 0.0756754, RMSE: 2.5617241, NOVELTY: 0.0055030, AVERAGE_POPULARITY: 0.5375990, DIVERSITY_MEAN_INTER_LIST: 0.9256598, DIVERSITY_HERFINDAHL: 0.9925603, COVERAGE_ITEM: 0.3440930, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0957794, SHANNON_ENTROPY: 8.6529216, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'UCM_age': 0.06635956279043766, 'UCM_region': 1.3995832037395428, 'UCM_user_act': 0.6532795701145603, 'UCM_sub_class': 0.639940458889339, 'UCM_item_pop': 0.23953001579547545, 'UCM_asset': 0.4299960926617564, 'UCM_price': 1.9317359171325597} - results: ROC_AUC: 0.1011853, PRECISION: 0.0164021, PRECISION_RECALL_MIN_DEN: 0.0546735, RECALL: 0.0546735, MAP: 0.0259191, MRR: 0.0710385, NDCG: 0.0447633, F1: 0.0252339, HIT_RATE: 0.1640205, ARHR: 0.0743560, RMSE: 3.6540264, NOVELTY: 0.0056661, AVERAGE_POPULARITY: 0.4783502, DIVERSITY_MEAN_INTER_LIST: 0.9467317, DIVERSITY_HERFINDAHL: 0.9946673, COVERAGE_ITEM: 0.3955664, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1173394, SHANNON_ENTROPY: 9.2271336, 
SearchBayesianSkopt: New best config found. Config 19: {'UCM_age': 0.2282596803163029, 'UCM_region': 0.41197508021206375, 'UCM_user_act': 0.5874305015911659, 'UCM_sub_class': 0.23733103410273998, 'UCM_item_pop': 0.016572729780452326, 'UCM_asset': 0.008549029842409574, 'UCM_price': 0.15014640387338132} - results: ROC_AUC: 0.1121065, PRECISION: 0.0183172, PRECISION_RECALL_MIN_DEN: 0.0610572, RECALL: 0.0610572, MAP: 0.0296289, MRR: 0.0811511, NDCG: 0.0506361, F1: 0.0281803, HIT_RATE: 0.1831717, ARHR: 0.0849461, RMSE: 1.1010158, NOVELTY: 0.0053470, AVERAGE_POPULARITY: 0.6093025, DIVERSITY_MEAN_INTER_LIST: 0.8841706, DIVERSITY_HERFINDAHL: 0.9884116, COVERAGE_ITEM: 0.2855366, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0740479, SHANNON_ENTROPY: 7.8968166, 
SearchBayesianSkopt: New best config found. Config 20: {'UCM_age': 1.7668863893317917, 'UCM_region': 0.23785533101739414, 'UCM_user_act': 1.0878342857803298, 'UCM_sub_class': 0.368345072753169, 'UCM_item_pop': 0.07232693665186908, 'UCM_asset': 0.06238224039797592, 'UCM_price': 0.6593635277748561} - results: ROC_AUC: 0.1124135, PRECISION: 0.0185149, PRECISION_RECALL_MIN_DEN: 0.0617162, RECALL: 0.0617162, MAP: 0.0296292, MRR: 0.0811034, NDCG: 0.0508413, F1: 0.0284844, HIT_RATE: 0.1851486, ARHR: 0.0849376, RMSE: 1.6858860, NOVELTY: 0.0053811, AVERAGE_POPULARITY: 0.5882323, DIVERSITY_MEAN_INTER_LIST: 0.8987014, DIVERSITY_HERFINDAHL: 0.9898646, COVERAGE_ITEM: 0.2739119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0803686, SHANNON_ENTROPY: 8.0933300, 
