SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 816, 'shrink': 1898, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0318487, PRECISION: 0.0060048, PRECISION_RECALL_MIN_DEN: 0.0200161, RECALL: 0.0200161, MAP: 0.0067990, MRR: 0.0199133, NDCG: 0.0137544, F1: 0.0092382, HIT_RATE: 0.0600482, ARHR: 0.0201552, RMSE: 0.9810956, NOVELTY: 0.0052337, AVERAGE_POPULARITY: 0.6199447, DIVERSITY_MEAN_INTER_LIST: 0.8514993, DIVERSITY_HERFINDAHL: 0.9851447, COVERAGE_ITEM: 0.0468235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1045927, SHANNON_ENTROPY: 6.8105179, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1554, 'shrink': 739, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0378879, PRECISION: 0.0073022, PRECISION_RECALL_MIN_DEN: 0.0243405, RECALL: 0.0243405, MAP: 0.0079826, MRR: 0.0232191, NDCG: 0.0163935, F1: 0.0112341, HIT_RATE: 0.0730216, ARHR: 0.0235835, RMSE: 0.9430239, NOVELTY: 0.0049661, AVERAGE_POPULARITY: 0.8039884, DIVERSITY_MEAN_INTER_LIST: 0.6565729, DIVERSITY_HERFINDAHL: 0.9656532, COVERAGE_ITEM: 0.0044336, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3451477, SHANNON_ENTROPY: 5.2125982, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 1272, 'shrink': 404, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0384139, PRECISION: 0.0073145, PRECISION_RECALL_MIN_DEN: 0.0243817, RECALL: 0.0243817, MAP: 0.0081687, MRR: 0.0238415, NDCG: 0.0166242, F1: 0.0112531, HIT_RATE: 0.0731451, ARHR: 0.0241737, RMSE: 0.9110635, NOVELTY: 0.0049734, AVERAGE_POPULARITY: 0.7966977, DIVERSITY_MEAN_INTER_LIST: 0.6819294, DIVERSITY_HERFINDAHL: 0.9681887, COVERAGE_ITEM: 0.0059476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2776434, SHANNON_ENTROPY: 5.3237279, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 93, 'shrink': 1750, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0078947, PRECISION: 0.0014332, PRECISION_RECALL_MIN_DEN: 0.0047775, RECALL: 0.0047775, MAP: 0.0016960, MRR: 0.0049684, NDCG: 0.0033661, F1: 0.0022050, HIT_RATE: 0.0143325, ARHR: 0.0050282, RMSE: 0.9926630, NOVELTY: 0.0059606, AVERAGE_POPULARITY: 0.1532721, DIVERSITY_MEAN_INTER_LIST: 0.6855016, DIVERSITY_HERFINDAHL: 0.9685459, COVERAGE_ITEM: 0.1045147, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0774853, SHANNON_ENTROPY: 6.5200316, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1439, 'shrink': 1700, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0378279, PRECISION: 0.0071971, PRECISION_RECALL_MIN_DEN: 0.0239904, RECALL: 0.0239904, MAP: 0.0081146, MRR: 0.0236044, NDCG: 0.0164187, F1: 0.0110725, HIT_RATE: 0.0719713, ARHR: 0.0239742, RMSE: 0.9929702, NOVELTY: 0.0049766, AVERAGE_POPULARITY: 0.7950276, DIVERSITY_MEAN_INTER_LIST: 0.6840147, DIVERSITY_HERFINDAHL: 0.9683972, COVERAGE_ITEM: 0.0082184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2098156, SHANNON_ENTROPY: 5.3945975, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 297, 'shrink': 402, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0195695, PRECISION: 0.0037005, PRECISION_RECALL_MIN_DEN: 0.0123350, RECALL: 0.0123350, MAP: 0.0041946, MRR: 0.0122429, NDCG: 0.0084751, F1: 0.0056931, HIT_RATE: 0.0370050, ARHR: 0.0124134, RMSE: 0.9033824, NOVELTY: 0.0055882, AVERAGE_POPULARITY: 0.3825960, DIVERSITY_MEAN_INTER_LIST: 0.8625274, DIVERSITY_HERFINDAHL: 0.9862474, COVERAGE_ITEM: 0.0978102, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0751532, SHANNON_ENTROPY: 7.1673750, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 359, 'shrink': 1844, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0224589, PRECISION: 0.0042565, PRECISION_RECALL_MIN_DEN: 0.0141883, RECALL: 0.0141883, MAP: 0.0045939, MRR: 0.0135012, NDCG: 0.0095220, F1: 0.0065485, HIT_RATE: 0.0425650, ARHR: 0.0136414, RMSE: 0.9657259, NOVELTY: 0.0055907, AVERAGE_POPULARITY: 0.4249426, DIVERSITY_MEAN_INTER_LIST: 0.8860598, DIVERSITY_HERFINDAHL: 0.9886005, COVERAGE_ITEM: 0.0851041, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0929573, SHANNON_ENTROPY: 7.3496157, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 731, 'shrink': 1217, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0329023, PRECISION: 0.0061778, PRECISION_RECALL_MIN_DEN: 0.0205927, RECALL: 0.0205927, MAP: 0.0069476, MRR: 0.0202947, NDCG: 0.0140956, F1: 0.0095043, HIT_RATE: 0.0617780, ARHR: 0.0205688, RMSE: 0.9942491, NOVELTY: 0.0051547, AVERAGE_POPULARITY: 0.6583133, DIVERSITY_MEAN_INTER_LIST: 0.8009993, DIVERSITY_HERFINDAHL: 0.9800950, COVERAGE_ITEM: 0.0322249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0982339, SHANNON_ENTROPY: 6.2419402, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1423, 'shrink': 1336, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0384997, PRECISION: 0.0073825, PRECISION_RECALL_MIN_DEN: 0.0246082, RECALL: 0.0246082, MAP: 0.0080582, MRR: 0.0234693, NDCG: 0.0165693, F1: 0.0113576, HIT_RATE: 0.0738247, ARHR: 0.0238219, RMSE: 0.9694146, NOVELTY: 0.0049709, AVERAGE_POPULARITY: 0.7997969, DIVERSITY_MEAN_INTER_LIST: 0.6685705, DIVERSITY_HERFINDAHL: 0.9668529, COVERAGE_ITEM: 0.0049202, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3237050, SHANNON_ENTROPY: 5.2739934, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1991, 'shrink': 27, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0351139, PRECISION: 0.0066597, PRECISION_RECALL_MIN_DEN: 0.0221989, RECALL: 0.0221989, MAP: 0.0073923, MRR: 0.0216666, NDCG: 0.0151035, F1: 0.0102456, HIT_RATE: 0.0665967, ARHR: 0.0219217, RMSE: 1.9680132, NOVELTY: 0.0050746, AVERAGE_POPULARITY: 0.7202058, DIVERSITY_MEAN_INTER_LIST: 0.7714632, DIVERSITY_HERFINDAHL: 0.9771416, COVERAGE_ITEM: 0.0164369, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1638089, SHANNON_ENTROPY: 6.0267821, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0384941, PRECISION: 0.0074566, PRECISION_RECALL_MIN_DEN: 0.0248553, RECALL: 0.0248553, MAP: 0.0081663, MRR: 0.0237978, NDCG: 0.0167577, F1: 0.0114717, HIT_RATE: 0.0745660, ARHR: 0.0241483, RMSE: 0.9747442, NOVELTY: 0.0049563, AVERAGE_POPULARITY: 0.8124628, DIVERSITY_MEAN_INTER_LIST: 0.6351016, DIVERSITY_HERFINDAHL: 0.9635062, COVERAGE_ITEM: 0.0041092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3498340, SHANNON_ENTROPY: 5.1180444, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 2000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0379321, PRECISION: 0.0072589, PRECISION_RECALL_MIN_DEN: 0.0241964, RECALL: 0.0241964, MAP: 0.0080816, MRR: 0.0235163, NDCG: 0.0164499, F1: 0.0111676, HIT_RATE: 0.0725891, ARHR: 0.0238806, RMSE: 9.6127094, NOVELTY: 0.0049612, AVERAGE_POPULARITY: 0.8082763, DIVERSITY_MEAN_INTER_LIST: 0.6508516, DIVERSITY_HERFINDAHL: 0.9650811, COVERAGE_ITEM: 0.0061098, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2512494, SHANNON_ENTROPY: 5.2225316, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 2000, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0367600, PRECISION: 0.0071601, PRECISION_RECALL_MIN_DEN: 0.0238669, RECALL: 0.0238669, MAP: 0.0078060, MRR: 0.0228524, NDCG: 0.0160634, F1: 0.0110155, HIT_RATE: 0.0716007, ARHR: 0.0231352, RMSE: 0.8862711, NOVELTY: 0.0049929, AVERAGE_POPULARITY: 0.7816049, DIVERSITY_MEAN_INTER_LIST: 0.7030851, DIVERSITY_HERFINDAHL: 0.9703042, COVERAGE_ITEM: 0.0054609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3282425, SHANNON_ENTROPY: 5.4451855, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 1994, 'shrink': 46, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0366137, PRECISION: 0.0070736, PRECISION_RECALL_MIN_DEN: 0.0235786, RECALL: 0.0235786, MAP: 0.0078092, MRR: 0.0227174, NDCG: 0.0159582, F1: 0.0108824, HIT_RATE: 0.0707358, ARHR: 0.0230724, RMSE: 5.7076609, NOVELTY: 0.0050357, AVERAGE_POPULARITY: 0.7463029, DIVERSITY_MEAN_INTER_LIST: 0.7413756, DIVERSITY_HERFINDAHL: 0.9741330, COVERAGE_ITEM: 0.0108137, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2003975, SHANNON_ENTROPY: 5.7296288, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 1976, 'shrink': 1905, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0349972, PRECISION: 0.0066473, PRECISION_RECALL_MIN_DEN: 0.0221577, RECALL: 0.0221577, MAP: 0.0073517, MRR: 0.0215449, NDCG: 0.0150458, F1: 0.0102266, HIT_RATE: 0.0664731, ARHR: 0.0218000, RMSE: 0.9740617, NOVELTY: 0.0050755, AVERAGE_POPULARITY: 0.7195965, DIVERSITY_MEAN_INTER_LIST: 0.7722290, DIVERSITY_HERFINDAHL: 0.9772181, COVERAGE_ITEM: 0.0161665, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1671954, SHANNON_ENTROPY: 6.0324039, 
