SearchBayesianSkopt: Config 11 is suboptimal. Config: {'UCM_age': 0.4644826767265524, 'UCM_region': -0.5763370490667229, 'UCM_user_act': 0.17870284510862722, 'UCM_sub_class': 0.3346026734445986, 'UCM_item_pop': -0.23394838799326378, 'UCM_asset': 0.38725756791513355, 'UCM_price': -0.24872740599142595} - results: ROC_AUC: 0.0641032, PRECISION: 0.0107803, PRECISION_RECALL_MIN_DEN: 0.0359342, RECALL: 0.0359342, MAP: 0.0159501, MRR: 0.0448153, NDCG: 0.0284365, F1: 0.0165850, HIT_RATE: 0.1078026, ARHR: 0.0463096, RMSE: 38.1432722, NOVELTY: 0.0056932, AVERAGE_POPULARITY: 0.5232484, DIVERSITY_MEAN_INTER_LIST: 0.9042954, DIVERSITY_HERFINDAHL: 0.9904240, COVERAGE_ITEM: 0.1657745, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0708239, SHANNON_ENTROPY: 7.7251206, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'UCM_age': 0.645876041641243, 'UCM_region': -0.28416041280863025, 'UCM_user_act': 0.6755654670657667, 'UCM_sub_class': -0.8077594933835774, 'UCM_item_pop': -0.7330254857379563, 'UCM_asset': 0.15956818708577059, 'UCM_price': 0.41327740505935173} - results: ROC_AUC: 0.1042424, PRECISION: 0.0173040, PRECISION_RECALL_MIN_DEN: 0.0576800, RECALL: 0.0576800, MAP: 0.0274002, MRR: 0.0753867, NDCG: 0.0472626, F1: 0.0266216, HIT_RATE: 0.1730401, ARHR: 0.0787367, RMSE: 0.9565943, NOVELTY: 0.0052871, AVERAGE_POPULARITY: 0.6362041, DIVERSITY_MEAN_INTER_LIST: 0.8680375, DIVERSITY_HERFINDAHL: 0.9867984, COVERAGE_ITEM: 0.2493106, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0647890, SHANNON_ENTROPY: 7.5786282, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'UCM_age': -0.8512719684798933, 'UCM_region': -0.7953972676678889, 'UCM_user_act': -0.694437862181809, 'UCM_sub_class': 0.9089871072228541, 'UCM_item_pop': -0.42822510744858755, 'UCM_asset': 0.6943818259213661, 'UCM_price': 0.09608574307268936} - results: ROC_AUC: 0.0156985, PRECISION: 0.0026935, PRECISION_RECALL_MIN_DEN: 0.0089784, RECALL: 0.0089784, MAP: 0.0036997, MRR: 0.0107395, NDCG: 0.0068596, F1: 0.0041439, HIT_RATE: 0.0269352, ARHR: 0.0109194, RMSE: 142533.3201177, NOVELTY: 0.0070424, AVERAGE_POPULARITY: 0.1941049, DIVERSITY_MEAN_INTER_LIST: 0.9635942, DIVERSITY_HERFINDAHL: 0.9963535, COVERAGE_ITEM: 0.2135712, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0992429, SHANNON_ENTROPY: 8.8043979, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'UCM_age': 0.6567468733301662, 'UCM_region': -0.6212740252923098, 'UCM_user_act': -0.4842228157266496, 'UCM_sub_class': -0.9505755447332755, 'UCM_item_pop': 0.8509624096670043, 'UCM_asset': 0.24056041028178066, 'UCM_price': 0.6970009111237816} - results: ROC_AUC: 0.0516375, PRECISION: 0.0086304, PRECISION_RECALL_MIN_DEN: 0.0287679, RECALL: 0.0287679, MAP: 0.0127612, MRR: 0.0359586, NDCG: 0.0227842, F1: 0.0132775, HIT_RATE: 0.0863038, ARHR: 0.0371133, RMSE: 211.2952204, NOVELTY: 0.0061501, AVERAGE_POPULARITY: 0.4067310, DIVERSITY_MEAN_INTER_LIST: 0.9360683, DIVERSITY_HERFINDAHL: 0.9936011, COVERAGE_ITEM: 0.2030278, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0841919, SHANNON_ENTROPY: 8.2926163, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'UCM_age': 0.4067669301327288, 'UCM_region': -0.22945870963148352, 'UCM_user_act': -0.8702513778277621, 'UCM_sub_class': -0.8014486463975969, 'UCM_item_pop': 0.7031373431076537, 'UCM_asset': -0.5131739618089982, 'UCM_price': -0.0027556346170365398} - results: ROC_AUC: 0.0711838, PRECISION: 0.0118861, PRECISION_RECALL_MIN_DEN: 0.0396203, RECALL: 0.0396203, MAP: 0.0180209, MRR: 0.0503284, NDCG: 0.0317569, F1: 0.0182863, HIT_RATE: 0.1188608, ARHR: 0.0521597, RMSE: 18.7932239, NOVELTY: 0.0055289, AVERAGE_POPULARITY: 0.5612802, DIVERSITY_MEAN_INTER_LIST: 0.8987317, DIVERSITY_HERFINDAHL: 0.9898676, COVERAGE_ITEM: 0.3418762, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0834854, SHANNON_ENTROPY: 8.1416190, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'UCM_age': -0.5445026344734728, 'UCM_region': 0.002051598625405715, 'UCM_user_act': -0.9979379173988385, 'UCM_sub_class': 0.5817943022364829, 'UCM_item_pop': 0.9365755938894078, 'UCM_asset': 0.18205935446333799, 'UCM_price': 0.5780143833242044} - results: ROC_AUC: 0.0374224, PRECISION: 0.0065238, PRECISION_RECALL_MIN_DEN: 0.0217458, RECALL: 0.0217458, MAP: 0.0084696, MRR: 0.0247451, NDCG: 0.0161202, F1: 0.0100365, HIT_RATE: 0.0652375, ARHR: 0.0250769, RMSE: 20.7259776, NOVELTY: 0.0056676, AVERAGE_POPULARITY: 0.5200070, DIVERSITY_MEAN_INTER_LIST: 0.9019394, DIVERSITY_HERFINDAHL: 0.9901884, COVERAGE_ITEM: 0.1761016, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0665782, SHANNON_ENTROPY: 7.7010306, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'UCM_age': 0.10556384972602273, 'UCM_region': 0.5904236054587209, 'UCM_user_act': -0.6862894459412825, 'UCM_sub_class': -0.3667653012882345, 'UCM_item_pop': -0.6067508549392912, 'UCM_asset': -0.34899905679873344, 'UCM_price': 0.11747989703960893} - results: ROC_AUC: 0.0746808, PRECISION: 0.0121579, PRECISION_RECALL_MIN_DEN: 0.0405263, RECALL: 0.0405263, MAP: 0.0188525, MRR: 0.0527674, NDCG: 0.0329610, F1: 0.0187045, HIT_RATE: 0.1215790, ARHR: 0.0546258, RMSE: 8.5633858, NOVELTY: 0.0055504, AVERAGE_POPULARITY: 0.5638689, DIVERSITY_MEAN_INTER_LIST: 0.8965423, DIVERSITY_HERFINDAHL: 0.9896487, COVERAGE_ITEM: 0.3513923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0823999, SHANNON_ENTROPY: 8.1052411, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'UCM_age': 0.07088551891646167, 'UCM_region': -0.7840579379579471, 'UCM_user_act': 0.14167355970580897, 'UCM_sub_class': 0.7570668482437166, 'UCM_item_pop': 0.1973159885691429, 'UCM_asset': 0.9299414160376647, 'UCM_price': -0.5521545979304637} - results: ROC_AUC: 0.0615238, PRECISION: 0.0102428, PRECISION_RECALL_MIN_DEN: 0.0341426, RECALL: 0.0341426, MAP: 0.0150243, MRR: 0.0419695, NDCG: 0.0268673, F1: 0.0157581, HIT_RATE: 0.1024279, ARHR: 0.0434866, RMSE: 6.5269954, NOVELTY: 0.0055555, AVERAGE_POPULARITY: 0.5492721, DIVERSITY_MEAN_INTER_LIST: 0.9035996, DIVERSITY_HERFINDAHL: 0.9903544, COVERAGE_ITEM: 0.2973236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0733631, SHANNON_ENTROPY: 8.0021029, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'UCM_age': -0.5654720400089362, 'UCM_region': 0.5515949515308962, 'UCM_user_act': -0.698057004805086, 'UCM_sub_class': -0.8561354692225973, 'UCM_item_pop': 0.8467102190264164, 'UCM_asset': -0.8595937739731141, 'UCM_price': -0.5707077074802335} - results: ROC_AUC: 0.0384872, PRECISION: 0.0069624, PRECISION_RECALL_MIN_DEN: 0.0232079, RECALL: 0.0232079, MAP: 0.0092050, MRR: 0.0261286, NDCG: 0.0172281, F1: 0.0107113, HIT_RATE: 0.0696238, ARHR: 0.0268717, RMSE: 261.2266404, NOVELTY: 0.0059373, AVERAGE_POPULARITY: 0.4279394, DIVERSITY_MEAN_INTER_LIST: 0.9362931, DIVERSITY_HERFINDAHL: 0.9936235, COVERAGE_ITEM: 0.1124628, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1059197, SHANNON_ENTROPY: 8.0870220, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'UCM_age': 1.0, 'UCM_region': 1.0, 'UCM_user_act': 1.0, 'UCM_sub_class': 1.0, 'UCM_item_pop': 1.0, 'UCM_asset': 1.0, 'UCM_price': 1.0} - results: ROC_AUC: 0.1056295, PRECISION: 0.0173781, PRECISION_RECALL_MIN_DEN: 0.0579271, RECALL: 0.0579271, MAP: 0.0280271, MRR: 0.0769735, NDCG: 0.0479651, F1: 0.0267356, HIT_RATE: 0.1737814, ARHR: 0.0804528, RMSE: 1.0171348, NOVELTY: 0.0052718, AVERAGE_POPULARITY: 0.6407247, DIVERSITY_MEAN_INTER_LIST: 0.8644590, DIVERSITY_HERFINDAHL: 0.9864406, COVERAGE_ITEM: 0.2397945, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0648685, SHANNON_ENTROPY: 7.5389324, 
