SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2329, 'shrink': 2654, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0426897, PRECISION: 0.0079752, PRECISION_RECALL_MIN_DEN: 0.0302686, RECALL: 0.0302686, MAP: 0.0104012, MRR: 0.0260961, NDCG: 0.0198542, F1: 0.0126242, HIT_RATE: 0.0797521, ARHR: 0.0267127, RMSE: 0.9940729, NOVELTY: 0.0049638, AVERAGE_POPULARITY: 0.8114586, DIVERSITY_MEAN_INTER_LIST: 0.6651083, DIVERSITY_HERFINDAHL: 0.9664971, COVERAGE_ITEM: 0.0081103, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2075735, SHANNON_ENTROPY: 5.3473457, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1413, 'shrink': 1531, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0409464, PRECISION: 0.0078926, PRECISION_RECALL_MIN_DEN: 0.0299587, RECALL: 0.0299587, MAP: 0.0100761, MRR: 0.0254021, NDCG: 0.0194150, F1: 0.0124937, HIT_RATE: 0.0789256, ARHR: 0.0259266, RMSE: 0.9933618, NOVELTY: 0.0050338, AVERAGE_POPULARITY: 0.7784079, DIVERSITY_MEAN_INTER_LIST: 0.7221991, DIVERSITY_HERFINDAHL: 0.9722050, COVERAGE_ITEM: 0.0135712, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1656646, SHANNON_ENTROPY: 5.7274094, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1667, 'shrink': 1859, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0415777, PRECISION: 0.0077273, PRECISION_RECALL_MIN_DEN: 0.0292700, RECALL: 0.0292700, MAP: 0.0105348, MRR: 0.0263572, NDCG: 0.0196737, F1: 0.0122267, HIT_RATE: 0.0772727, ARHR: 0.0269704, RMSE: 0.9764454, NOVELTY: 0.0049597, AVERAGE_POPULARITY: 0.8110070, DIVERSITY_MEAN_INTER_LIST: 0.6841484, DIVERSITY_HERFINDAHL: 0.9684007, COVERAGE_ITEM: 0.0039470, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4121672, SHANNON_ENTROPY: 5.2934120, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 3255, 'shrink': 812, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0431574, PRECISION: 0.0085124, PRECISION_RECALL_MIN_DEN: 0.0321970, RECALL: 0.0321970, MAP: 0.0111099, MRR: 0.0276941, NDCG: 0.0211009, F1: 0.0134649, HIT_RATE: 0.0851240, ARHR: 0.0284089, RMSE: 0.7528453, NOVELTY: 0.0049744, AVERAGE_POPULARITY: 0.7988369, DIVERSITY_MEAN_INTER_LIST: 0.6733037, DIVERSITY_HERFINDAHL: 0.9673165, COVERAGE_ITEM: 0.0036226, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.4472387, SHANNON_ENTROPY: 5.2907101, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 2636, 'shrink': 62, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0419132, PRECISION: 0.0080165, PRECISION_RECALL_MIN_DEN: 0.0302686, RECALL: 0.0302686, MAP: 0.0105960, MRR: 0.0263588, NDCG: 0.0200120, F1: 0.0126759, HIT_RATE: 0.0801653, ARHR: 0.0270323, RMSE: 1.0549890, NOVELTY: 0.0049474, AVERAGE_POPULARITY: 0.8232742, DIVERSITY_MEAN_INTER_LIST: 0.6504316, DIVERSITY_HERFINDAHL: 0.9650297, COVERAGE_ITEM: 0.0054069, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2795197, SHANNON_ENTROPY: 5.1905339, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 446, 'shrink': 552, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0314136, PRECISION: 0.0053926, PRECISION_RECALL_MIN_DEN: 0.0204890, RECALL: 0.0204890, MAP: 0.0075691, MRR: 0.0193112, NDCG: 0.0140636, F1: 0.0085380, HIT_RATE: 0.0539256, ARHR: 0.0197152, RMSE: 0.9291300, NOVELTY: 0.0056189, AVERAGE_POPULARITY: 0.4927094, DIVERSITY_MEAN_INTER_LIST: 0.9293705, DIVERSITY_HERFINDAHL: 0.9929178, COVERAGE_ITEM: 0.0464991, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.2197231, SHANNON_ENTROPY: 7.9235430, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2779, 'shrink': 2105, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0420526, PRECISION: 0.0079132, PRECISION_RECALL_MIN_DEN: 0.0302686, RECALL: 0.0302686, MAP: 0.0106576, MRR: 0.0266434, NDCG: 0.0200507, F1: 0.0125464, HIT_RATE: 0.0791322, ARHR: 0.0274243, RMSE: 0.9911222, NOVELTY: 0.0049357, AVERAGE_POPULARITY: 0.8333561, DIVERSITY_MEAN_INTER_LIST: 0.6121441, DIVERSITY_HERFINDAHL: 0.9612018, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3068211, SHANNON_ENTROPY: 5.0557744, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 196, 'shrink': 1051, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0251117, PRECISION: 0.0047521, PRECISION_RECALL_MIN_DEN: 0.0181129, RECALL: 0.0181129, MAP: 0.0062999, MRR: 0.0160446, NDCG: 0.0119693, F1: 0.0075289, HIT_RATE: 0.0475207, ARHR: 0.0162767, RMSE: 0.9950244, NOVELTY: 0.0055593, AVERAGE_POPULARITY: 0.5281773, DIVERSITY_MEAN_INTER_LIST: 0.9259030, DIVERSITY_HERFINDAHL: 0.9925712, COVERAGE_ITEM: 0.0788321, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.1606684, SHANNON_ENTROPY: 8.0483610, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 997, 'shrink': 2854, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0371128, PRECISION: 0.0071694, PRECISION_RECALL_MIN_DEN: 0.0271350, RECALL: 0.0271350, MAP: 0.0096340, MRR: 0.0236160, NDCG: 0.0179928, F1: 0.0113421, HIT_RATE: 0.0716942, ARHR: 0.0243165, RMSE: 0.9553323, NOVELTY: 0.0051002, AVERAGE_POPULARITY: 0.7096339, DIVERSITY_MEAN_INTER_LIST: 0.8258106, DIVERSITY_HERFINDAHL: 0.9825640, COVERAGE_ITEM: 0.0102730, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3100454, SHANNON_ENTROPY: 6.2988316, 
SearchBayesianSkopt: New best config found. Config 20: {'topK': 2759, 'shrink': 85, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0446338, PRECISION: 0.0084504, PRECISION_RECALL_MIN_DEN: 0.0323691, RECALL: 0.0323691, MAP: 0.0114227, MRR: 0.0286947, NDCG: 0.0214816, F1: 0.0134020, HIT_RATE: 0.0845041, ARHR: 0.0293374, RMSE: 2.5292865, NOVELTY: 0.0049952, AVERAGE_POPULARITY: 0.7808049, DIVERSITY_MEAN_INTER_LIST: 0.7097541, DIVERSITY_HERFINDAHL: 0.9709607, COVERAGE_ITEM: 0.0048121, COVERAGE_USER: 1.2350089, DIVERSITY_GINI: 0.3846162, SHANNON_ENTROPY: 5.4964323, 
