CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 15, 'shrink': 1733, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035777±0.0013, PRECISION: 0.005497±0.0002, PRECISION_RECALL_MIN_DEN: 0.054968±0.0018, RECALL: 0.054968±0.0018, MAP: 0.024504±0.0011, MRR: 0.024504±0.0011, NDCG: 0.031595±0.0010, F1: 0.009994±0.0003, HIT_RATE: 0.054968±0.0018, ARHR: 0.024504±0.0011, RMSE: 0.987204±0.0002, NOVELTY: 0.005279±0.0000, AVERAGE_POPULARITY: 0.580306±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.914306±0.0006, DIVERSITY_HERFINDAHL: 0.991410±0.0001, COVERAGE_ITEM: 0.050089±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.168057±0.0016, SHANNON_ENTROPY: 7.613179±0.0070, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 3, 'shrink': 434, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.027171±0.0012, PRECISION: 0.004846±0.0003, PRECISION_RECALL_MIN_DEN: 0.048464±0.0025, RECALL: 0.048464±0.0025, MAP: 0.017268±0.0008, MRR: 0.017268±0.0008, NDCG: 0.024436±0.0011, F1: 0.008812±0.0005, HIT_RATE: 0.048464±0.0025, ARHR: 0.017268±0.0008, RMSE: 0.936582±0.0022, NOVELTY: 0.007781±0.0000, AVERAGE_POPULARITY: 0.080461±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.996825±0.0000, DIVERSITY_HERFINDAHL: 0.999660±0.0000, COVERAGE_ITEM: 0.564131±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.508760±0.0011, SHANNON_ENTROPY: 12.598745±0.0026, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 24, 'shrink': 42, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.045940±0.0018, PRECISION: 0.007105±0.0002, PRECISION_RECALL_MIN_DEN: 0.071048±0.0018, RECALL: 0.071048±0.0018, MAP: 0.030827±0.0017, MRR: 0.030827±0.0017, NDCG: 0.040206±0.0016, F1: 0.012918±0.0003, HIT_RATE: 0.071048±0.0018, ARHR: 0.030827±0.0017, RMSE: 47.855153±0.8795, NOVELTY: 0.005549±0.0000, AVERAGE_POPULARITY: 0.455576±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.953334±0.0000, DIVERSITY_HERFINDAHL: 0.995312±0.0000, COVERAGE_ITEM: 0.076572±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.209373±0.0009, SHANNON_ENTROPY: 8.546135±0.0025, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'topK': 12, 'shrink': 1154, 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.052404±0.0025, PRECISION: 0.008126±0.0003, PRECISION_RECALL_MIN_DEN: 0.081256±0.0032, RECALL: 0.081256±0.0032, MAP: 0.034968±0.0020, MRR: 0.034968±0.0020, NDCG: 0.045760±0.0022, F1: 0.014774±0.0006, HIT_RATE: 0.081256±0.0032, ARHR: 0.034968±0.0020, RMSE: 0.947423±0.0011, NOVELTY: 0.006416±0.0000, AVERAGE_POPULARITY: 0.265291±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.981496±0.0000, DIVERSITY_HERFINDAHL: 0.998127±0.0000, COVERAGE_ITEM: 0.273555±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.248909±0.0007, SHANNON_ENTROPY: 10.338388±0.0050, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 26, 'shrink': 1383, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.034186±0.0017, PRECISION: 0.005262±0.0002, PRECISION_RECALL_MIN_DEN: 0.052620±0.0024, RECALL: 0.052620±0.0024, MAP: 0.023532±0.0013, MRR: 0.023532±0.0013, NDCG: 0.030297±0.0015, F1: 0.009567±0.0004, HIT_RATE: 0.052620±0.0024, ARHR: 0.023532±0.0013, RMSE: 0.978961±0.0004, NOVELTY: 0.005207±0.0000, AVERAGE_POPULARITY: 0.625370±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.886999±0.0004, DIVERSITY_HERFINDAHL: 0.988680±0.0000, COVERAGE_ITEM: 0.044888±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150472±0.0004, SHANNON_ENTROPY: 7.259127±0.0042, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 13, 'shrink': 1708, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036058±0.0020, PRECISION: 0.005574±0.0002, PRECISION_RECALL_MIN_DEN: 0.055736±0.0021, RECALL: 0.055736±0.0021, MAP: 0.024943±0.0014, MRR: 0.024943±0.0014, NDCG: 0.032098±0.0015, F1: 0.010134±0.0004, HIT_RATE: 0.055736±0.0021, ARHR: 0.024943±0.0014, RMSE: 0.881795±0.0053, NOVELTY: 0.007722±0.0000, AVERAGE_POPULARITY: 0.105162±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.995495±0.0000, DIVERSITY_HERFINDAHL: 0.999527±0.0000, COVERAGE_ITEM: 0.555966±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.472806±0.0010, SHANNON_ENTROPY: 12.365538±0.0029, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 13, 'shrink': 448, 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.036058±0.0020, PRECISION: 0.005574±0.0002, PRECISION_RECALL_MIN_DEN: 0.055736±0.0021, RECALL: 0.055736±0.0021, MAP: 0.024943±0.0014, MRR: 0.024943±0.0014, NDCG: 0.032098±0.0015, F1: 0.010134±0.0004, HIT_RATE: 0.055736±0.0021, ARHR: 0.024943±0.0014, RMSE: 0.881795±0.0053, NOVELTY: 0.007722±0.0000, AVERAGE_POPULARITY: 0.105162±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.995495±0.0000, DIVERSITY_HERFINDAHL: 0.999527±0.0000, COVERAGE_ITEM: 0.555956±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.472808±0.0010, SHANNON_ENTROPY: 12.365521±0.0028, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 20, 'shrink': 17, 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024104±0.0014, PRECISION: 0.003853±0.0002, PRECISION_RECALL_MIN_DEN: 0.038528±0.0024, RECALL: 0.038528±0.0024, MAP: 0.016006±0.0012, MRR: 0.016006±0.0012, NDCG: 0.021239±0.0014, F1: 0.007005±0.0004, HIT_RATE: 0.038528±0.0024, ARHR: 0.016006±0.0012, RMSE: 0.885113±0.0022, NOVELTY: 0.007826±0.0000, AVERAGE_POPULARITY: 0.071600±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997518±0.0000, DIVERSITY_HERFINDAHL: 0.999729±0.0000, COVERAGE_ITEM: 0.607224±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.541550±0.0013, SHANNON_ENTROPY: 12.818863±0.0027, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 14, 'shrink': 1049, 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.035727±0.0012, PRECISION: 0.005479±0.0001, PRECISION_RECALL_MIN_DEN: 0.054788±0.0012, RECALL: 0.054788±0.0012, MAP: 0.024536±0.0011, MRR: 0.024536±0.0011, NDCG: 0.031578±0.0009, F1: 0.009961±0.0002, HIT_RATE: 0.054788±0.0012, ARHR: 0.024536±0.0011, RMSE: 0.979590±0.0004, NOVELTY: 0.005287±0.0000, AVERAGE_POPULARITY: 0.575446±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.916734±0.0005, DIVERSITY_HERFINDAHL: 0.991653±0.0001, COVERAGE_ITEM: 0.050435±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.170520±0.0021, SHANNON_ENTROPY: 7.648821±0.0070, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 7, 'shrink': 158, 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048966±0.0013, PRECISION: 0.007692±0.0001, PRECISION_RECALL_MIN_DEN: 0.076920±0.0005, RECALL: 0.076920±0.0005, MAP: 0.032390±0.0014, MRR: 0.032390±0.0014, NDCG: 0.042761±0.0011, F1: 0.013985±0.0001, HIT_RATE: 0.076920±0.0005, ARHR: 0.032390±0.0014, RMSE: 7.897603±0.1338, NOVELTY: 0.005723±0.0000, AVERAGE_POPULARITY: 0.377952±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.967313±0.0002, DIVERSITY_HERFINDAHL: 0.996709±0.0000, COVERAGE_ITEM: 0.083569±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.252679±0.0014, SHANNON_ENTROPY: 8.985975±0.0048, 
