SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 334, 'shrink': 373, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0672380, PRECISION: 0.0104034, PRECISION_RECALL_MIN_DEN: 0.0346780, RECALL: 0.0346780, MAP: 0.0172568, MRR: 0.0481227, NDCG: 0.0293932, F1: 0.0160052, HIT_RATE: 0.1040341, ARHR: 0.0499040, RMSE: 0.9804087, NOVELTY: 0.0063401, AVERAGE_POPULARITY: 0.0394870, DIVERSITY_MEAN_INTER_LIST: 0.9988474, DIVERSITY_HERFINDAHL: 0.9998786, COVERAGE_ITEM: 0.9701541, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5638850, SHANNON_ENTROPY: 13.6177964, 
SearchBayesianSkopt: New best config found. Config 12: {'topK': 461, 'shrink': 1021, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.1217700, PRECISION: 0.0192624, PRECISION_RECALL_MIN_DEN: 0.0642079, RECALL: 0.0642079, MAP: 0.0324223, MRR: 0.0883138, NDCG: 0.0545327, F1: 0.0296344, HIT_RATE: 0.1926237, ARHR: 0.0926925, RMSE: 0.7839353, NOVELTY: 0.0058592, AVERAGE_POPULARITY: 0.3741761, DIVERSITY_MEAN_INTER_LIST: 0.9656625, DIVERSITY_HERFINDAHL: 0.9965603, COVERAGE_ITEM: 0.7568532, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1886398, SHANNON_ENTROPY: 10.5215834, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 735, 'shrink': 1248, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.0847714, PRECISION: 0.0138630, PRECISION_RECALL_MIN_DEN: 0.0462099, RECALL: 0.0462099, MAP: 0.0220945, MRR: 0.0618348, NDCG: 0.0381855, F1: 0.0213277, HIT_RATE: 0.1386298, ARHR: 0.0640125, RMSE: 0.9203739, NOVELTY: 0.0051772, AVERAGE_POPULARITY: 0.7199688, DIVERSITY_MEAN_INTER_LIST: 0.7285803, DIVERSITY_HERFINDAHL: 0.9728535, COVERAGE_ITEM: 0.3331711, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0561012, SHANNON_ENTROPY: 6.6122214, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 389, 'shrink': 240, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1054010, PRECISION: 0.0168098, PRECISION_RECALL_MIN_DEN: 0.0560326, RECALL: 0.0560326, MAP: 0.0279382, MRR: 0.0768413, NDCG: 0.0473286, F1: 0.0258612, HIT_RATE: 0.1680979, ARHR: 0.0802633, RMSE: 0.8451084, NOVELTY: 0.0054221, AVERAGE_POPULARITY: 0.5761873, DIVERSITY_MEAN_INTER_LIST: 0.8900694, DIVERSITY_HERFINDAHL: 0.9890014, COVERAGE_ITEM: 0.4455258, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0887080, SHANNON_ENTROPY: 8.2576712, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 433, 'shrink': 1250, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0858674, PRECISION: 0.0141163, PRECISION_RECALL_MIN_DEN: 0.0470542, RECALL: 0.0470542, MAP: 0.0222353, MRR: 0.0619995, NDCG: 0.0385727, F1: 0.0217173, HIT_RATE: 0.1411627, ARHR: 0.0643074, RMSE: 0.9784571, NOVELTY: 0.0052024, AVERAGE_POPULARITY: 0.7009108, DIVERSITY_MEAN_INTER_LIST: 0.7596498, DIVERSITY_HERFINDAHL: 0.9759603, COVERAGE_ITEM: 0.3357664, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0603624, SHANNON_ENTROPY: 6.8671617, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 466, 'shrink': 49, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.1107745, PRECISION: 0.0177056, PRECISION_RECALL_MIN_DEN: 0.0590186, RECALL: 0.0590186, MAP: 0.0295185, MRR: 0.0808517, NDCG: 0.0498860, F1: 0.0272393, HIT_RATE: 0.1770557, ARHR: 0.0846290, RMSE: 0.9100349, NOVELTY: 0.0056233, AVERAGE_POPULARITY: 0.4866657, DIVERSITY_MEAN_INTER_LIST: 0.9296434, DIVERSITY_HERFINDAHL: 0.9929586, COVERAGE_ITEM: 0.5712355, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1263398, SHANNON_ENTROPY: 9.2280375, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 992, 'shrink': 989, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0821100, PRECISION: 0.0133873, PRECISION_RECALL_MIN_DEN: 0.0446243, RECALL: 0.0446243, MAP: 0.0213112, MRR: 0.0597366, NDCG: 0.0368645, F1: 0.0205958, HIT_RATE: 0.1338729, ARHR: 0.0617898, RMSE: 0.9689213, NOVELTY: 0.0051319, AVERAGE_POPULARITY: 0.7400003, DIVERSITY_MEAN_INTER_LIST: 0.6925046, DIVERSITY_HERFINDAHL: 0.9692462, COVERAGE_ITEM: 0.2939173, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0492631, SHANNON_ENTROPY: 6.3236292, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 762, 'shrink': 1083, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0830414, PRECISION: 0.0134738, PRECISION_RECALL_MIN_DEN: 0.0449126, RECALL: 0.0449126, MAP: 0.0214002, MRR: 0.0599590, NDCG: 0.0370636, F1: 0.0207289, HIT_RATE: 0.1347378, ARHR: 0.0620414, RMSE: 0.9725953, NOVELTY: 0.0051513, AVERAGE_POPULARITY: 0.7298553, DIVERSITY_MEAN_INTER_LIST: 0.7116734, DIVERSITY_HERFINDAHL: 0.9711629, COVERAGE_ITEM: 0.3074344, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0522841, SHANNON_ENTROPY: 6.4709219, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 966, 'shrink': 1474, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none', 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0882273, PRECISION: 0.0141719, PRECISION_RECALL_MIN_DEN: 0.0472396, RECALL: 0.0472396, MAP: 0.0228557, MRR: 0.0639150, NDCG: 0.0393403, F1: 0.0218029, HIT_RATE: 0.1417187, ARHR: 0.0662014, RMSE: 0.9255269, NOVELTY: 0.0051684, AVERAGE_POPULARITY: 0.7133021, DIVERSITY_MEAN_INTER_LIST: 0.7390697, DIVERSITY_HERFINDAHL: 0.9739024, COVERAGE_ITEM: 0.3346851, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0560369, SHANNON_ENTROPY: 6.6737064, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 66, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF', 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.0833236, PRECISION: 0.0135912, PRECISION_RECALL_MIN_DEN: 0.0453038, RECALL: 0.0453038, MAP: 0.0217015, MRR: 0.0595892, NDCG: 0.0373077, F1: 0.0209095, HIT_RATE: 0.1359115, ARHR: 0.0622778, RMSE: 0.9625354, NOVELTY: 0.0047240, AVERAGE_POPULARITY: 0.1324896, DIVERSITY_MEAN_INTER_LIST: 0.9952049, DIVERSITY_HERFINDAHL: 0.9995143, COVERAGE_ITEM: 0.8654231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4021908, SHANNON_ENTROPY: 12.7445331, 
