SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010842, PRECISION: 0.0162175, PRECISION_RECALL_MIN_DEN: 0.0540584, RECALL: 0.0540584, MAP: 0.0269592, MRR: 0.0728623, NDCG: 0.0454563, F1: 0.0249500, HIT_RATE: 0.1621752, ARHR: 0.0767708, RMSE: 0.9860936, NOVELTY: 0.0062547, AVERAGE_POPULARITY: 0.1784211, DIVERSITY_MEAN_INTER_LIST: 0.9335544, DIVERSITY_HERFINDAHL: 0.9933509, COVERAGE_ITEM: 0.5491214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1599135, SHANNON_ENTROPY: 10.0062766, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 913, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0610503, PRECISION: 0.0096466, PRECISION_RECALL_MIN_DEN: 0.0321554, RECALL: 0.0321554, MAP: 0.0162906, MRR: 0.0448146, NDCG: 0.0274276, F1: 0.0148410, HIT_RATE: 0.0964663, ARHR: 0.0468108, RMSE: 0.9083458, NOVELTY: 0.0044915, AVERAGE_POPULARITY: 0.1558072, DIVERSITY_MEAN_INTER_LIST: 0.9423303, DIVERSITY_HERFINDAHL: 0.9942285, COVERAGE_ITEM: 0.7964855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2747535, SHANNON_ENTROPY: 10.9434887, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 7, 'shrink': 990, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0627757, PRECISION: 0.0103167, PRECISION_RECALL_MIN_DEN: 0.0343891, RECALL: 0.0343891, MAP: 0.0160367, MRR: 0.0442289, NDCG: 0.0279010, F1: 0.0158719, HIT_RATE: 0.1031673, ARHR: 0.0461178, RMSE: 0.9935638, NOVELTY: 0.0066435, AVERAGE_POPULARITY: 0.0449249, DIVERSITY_MEAN_INTER_LIST: 0.9026282, DIVERSITY_HERFINDAHL: 0.9902585, COVERAGE_ITEM: 0.8007570, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3244591, SHANNON_ENTROPY: 10.9332106, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0824741, PRECISION: 0.0129056, PRECISION_RECALL_MIN_DEN: 0.0430185, RECALL: 0.0430185, MAP: 0.0215992, MRR: 0.0595073, NDCG: 0.0365379, F1: 0.0198547, HIT_RATE: 0.1290556, ARHR: 0.0621121, RMSE: 0.9968922, NOVELTY: 0.0059440, AVERAGE_POPULARITY: 0.2703553, DIVERSITY_MEAN_INTER_LIST: 0.9262175, DIVERSITY_HERFINDAHL: 0.9926173, COVERAGE_ITEM: 0.4422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1282215, SHANNON_ENTROPY: 9.3371678, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 997, 'shrink': 995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0676356, PRECISION: 0.0109483, PRECISION_RECALL_MIN_DEN: 0.0364942, RECALL: 0.0364942, MAP: 0.0174364, MRR: 0.0487935, NDCG: 0.0301598, F1: 0.0168435, HIT_RATE: 0.1094827, ARHR: 0.0505184, RMSE: 1.2967607, NOVELTY: 0.0052490, AVERAGE_POPULARITY: 0.5824747, DIVERSITY_MEAN_INTER_LIST: 0.7785275, DIVERSITY_HERFINDAHL: 0.9778490, COVERAGE_ITEM: 0.1831846, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0390914, SHANNON_ENTROPY: 6.4093845, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0824741, PRECISION: 0.0129056, PRECISION_RECALL_MIN_DEN: 0.0430185, RECALL: 0.0430185, MAP: 0.0215992, MRR: 0.0595073, NDCG: 0.0365379, F1: 0.0198547, HIT_RATE: 0.1290556, ARHR: 0.0621121, RMSE: 0.9968922, NOVELTY: 0.0059440, AVERAGE_POPULARITY: 0.2703553, DIVERSITY_MEAN_INTER_LIST: 0.9262175, DIVERSITY_HERFINDAHL: 0.9926173, COVERAGE_ITEM: 0.4422276, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1282215, SHANNON_ENTROPY: 9.3371678, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 13, 'shrink': 14, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0820657, PRECISION: 0.0128140, PRECISION_RECALL_MIN_DEN: 0.0427132, RECALL: 0.0427132, MAP: 0.0215081, MRR: 0.0591684, NDCG: 0.0363343, F1: 0.0197138, HIT_RATE: 0.1281396, ARHR: 0.0618061, RMSE: 23.4310984, NOVELTY: 0.0057825, AVERAGE_POPULARITY: 0.3310273, DIVERSITY_MEAN_INTER_LIST: 0.9270204, DIVERSITY_HERFINDAHL: 0.9926976, COVERAGE_ITEM: 0.5248446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1082584, SHANNON_ENTROPY: 9.1069498, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 24, 'shrink': 998, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0994423, PRECISION: 0.0160295, PRECISION_RECALL_MIN_DEN: 0.0534317, RECALL: 0.0534317, MAP: 0.0264642, MRR: 0.0717169, NDCG: 0.0447717, F1: 0.0246608, HIT_RATE: 0.1602950, ARHR: 0.0754775, RMSE: 0.9784299, NOVELTY: 0.0060573, AVERAGE_POPULARITY: 0.2217416, DIVERSITY_MEAN_INTER_LIST: 0.9427200, DIVERSITY_HERFINDAHL: 0.9942675, COVERAGE_ITEM: 0.6295756, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1439694, SHANNON_ENTROPY: 9.9853516, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 39, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0501822, PRECISION: 0.0079015, PRECISION_RECALL_MIN_DEN: 0.0263382, RECALL: 0.0263382, MAP: 0.0136827, MRR: 0.0375641, NDCG: 0.0227940, F1: 0.0121561, HIT_RATE: 0.0790146, ARHR: 0.0392645, RMSE: 0.9763872, NOVELTY: 0.0041771, AVERAGE_POPULARITY: 0.0583556, DIVERSITY_MEAN_INTER_LIST: 0.9497971, DIVERSITY_HERFINDAHL: 0.9949751, COVERAGE_ITEM: 0.7370100, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3168658, SHANNON_ENTROPY: 11.4400864, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 983, 'shrink': 983, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0898366, PRECISION: 0.0144097, PRECISION_RECALL_MIN_DEN: 0.0480323, RECALL: 0.0480323, MAP: 0.0239920, MRR: 0.0653853, NDCG: 0.0405103, F1: 0.0221687, HIT_RATE: 0.1440968, ARHR: 0.0686153, RMSE: 0.9187489, NOVELTY: 0.0056712, AVERAGE_POPULARITY: 0.3863006, DIVERSITY_MEAN_INTER_LIST: 0.9063378, DIVERSITY_HERFINDAHL: 0.9906294, COVERAGE_ITEM: 0.5125710, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0964185, SHANNON_ENTROPY: 8.6339340, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 40, 'shrink': 992, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0798343, PRECISION: 0.0126163, PRECISION_RECALL_MIN_DEN: 0.0420543, RECALL: 0.0420543, MAP: 0.0211114, MRR: 0.0579950, NDCG: 0.0356666, F1: 0.0194097, HIT_RATE: 0.1261630, ARHR: 0.0606089, RMSE: 1.0325535, NOVELTY: 0.0056186, AVERAGE_POPULARITY: 0.4020144, DIVERSITY_MEAN_INTER_LIST: 0.9092372, DIVERSITY_HERFINDAHL: 0.9909193, COVERAGE_ITEM: 0.4333604, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0883332, SHANNON_ENTROPY: 8.4848291, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 993, 'shrink': 990, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0578343, PRECISION: 0.0089042, PRECISION_RECALL_MIN_DEN: 0.0296807, RECALL: 0.0296807, MAP: 0.0151698, MRR: 0.0422542, NDCG: 0.0255667, F1: 0.0136988, HIT_RATE: 0.0890421, ARHR: 0.0438506, RMSE: 0.9764814, NOVELTY: 0.0065372, AVERAGE_POPULARITY: 0.0418589, DIVERSITY_MEAN_INTER_LIST: 0.9506817, DIVERSITY_HERFINDAHL: 0.9950636, COVERAGE_ITEM: 0.9490132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3993018, SHANNON_ENTROPY: 11.9519193, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 965, 'shrink': 7, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0841982, PRECISION: 0.0130791, PRECISION_RECALL_MIN_DEN: 0.0435970, RECALL: 0.0435970, MAP: 0.0223261, MRR: 0.0614018, NDCG: 0.0374610, F1: 0.0201217, HIT_RATE: 0.1307911, ARHR: 0.0641308, RMSE: 0.8954753, NOVELTY: 0.0058249, AVERAGE_POPULARITY: 0.3335970, DIVERSITY_MEAN_INTER_LIST: 0.9136672, DIVERSITY_HERFINDAHL: 0.9913623, COVERAGE_ITEM: 0.7038659, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1410843, SHANNON_ENTROPY: 9.2586578, 
