SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1012624, PRECISION: 0.0158470, PRECISION_RECALL_MIN_DEN: 0.0528234, RECALL: 0.0528234, MAP: 0.0267417, MRR: 0.0734726, NDCG: 0.0450592, F1: 0.0243800, HIT_RATE: 0.1584703, ARHR: 0.0767978, RMSE: 2.5901618, NOVELTY: 0.0060707, AVERAGE_POPULARITY: 0.3585370, DIVERSITY_MEAN_INTER_LIST: 0.9756819, DIVERSITY_HERFINDAHL: 0.9975622, COVERAGE_ITEM: 0.6528851, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1585656, SHANNON_ENTROPY: 10.2167632, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 996, 'shrink': 999, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0850873, PRECISION: 0.0138021, PRECISION_RECALL_MIN_DEN: 0.0460068, RECALL: 0.0460068, MAP: 0.0219107, MRR: 0.0613848, NDCG: 0.0379548, F1: 0.0212339, HIT_RATE: 0.1380205, ARHR: 0.0635164, RMSE: 8.4645497, NOVELTY: 0.0050817, AVERAGE_POPULARITY: 0.7474425, DIVERSITY_MEAN_INTER_LIST: 0.7126582, DIVERSITY_HERFINDAHL: 0.9712614, COVERAGE_ITEM: 0.1978144, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0451992, SHANNON_ENTROPY: 6.2531157, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 928, 'shrink': 9, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0224419, PRECISION: 0.0034227, PRECISION_RECALL_MIN_DEN: 0.0114090, RECALL: 0.0114090, MAP: 0.0059623, MRR: 0.0165703, NDCG: 0.0099516, F1: 0.0052657, HIT_RATE: 0.0342271, ARHR: 0.0172049, RMSE: 0.8265347, NOVELTY: 0.0091227, AVERAGE_POPULARITY: 0.0197882, DIVERSITY_MEAN_INTER_LIST: 0.9981641, DIVERSITY_HERFINDAHL: 0.9998102, COVERAGE_ITEM: 0.8689358, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.4492259, SHANNON_ENTROPY: 12.8559839, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 16, 'shrink': 992, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1020177, PRECISION: 0.0160818, PRECISION_RECALL_MIN_DEN: 0.0536060, RECALL: 0.0536060, MAP: 0.0266833, MRR: 0.0733220, NDCG: 0.0452536, F1: 0.0247412, HIT_RATE: 0.1608180, ARHR: 0.0766343, RMSE: 0.9937057, NOVELTY: 0.0058296, AVERAGE_POPULARITY: 0.4226249, DIVERSITY_MEAN_INTER_LIST: 0.9635232, DIVERSITY_HERFINDAHL: 0.9963464, COVERAGE_ITEM: 0.6171783, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1373399, SHANNON_ENTROPY: 9.7535892, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 11, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0979123, PRECISION: 0.0152663, PRECISION_RECALL_MIN_DEN: 0.0508876, RECALL: 0.0508876, MAP: 0.0256919, MRR: 0.0710869, NDCG: 0.0434200, F1: 0.0234866, HIT_RATE: 0.1526628, ARHR: 0.0740436, RMSE: 1.3858355, NOVELTY: 0.0059097, AVERAGE_POPULARITY: 0.4112111, DIVERSITY_MEAN_INTER_LIST: 0.9645965, DIVERSITY_HERFINDAHL: 0.9964537, COVERAGE_ITEM: 0.6661098, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1443744, SHANNON_ENTROPY: 9.8873111, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 11, 'shrink': 10, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0726338, PRECISION: 0.0115347, PRECISION_RECALL_MIN_DEN: 0.0384489, RECALL: 0.0384489, MAP: 0.0192281, MRR: 0.0530059, NDCG: 0.0325463, F1: 0.0177456, HIT_RATE: 0.1153466, ARHR: 0.0552859, RMSE: 1.0024998, NOVELTY: 0.0086052, AVERAGE_POPULARITY: 0.0802885, DIVERSITY_MEAN_INTER_LIST: 0.9935078, DIVERSITY_HERFINDAHL: 0.9993446, COVERAGE_ITEM: 0.7224194, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.3813523, SHANNON_ENTROPY: 12.1623796, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 992, 'shrink': 998, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0787100, PRECISION: 0.0126467, PRECISION_RECALL_MIN_DEN: 0.0421558, RECALL: 0.0421558, MAP: 0.0203208, MRR: 0.0570731, NDCG: 0.0350592, F1: 0.0194565, HIT_RATE: 0.1264673, ARHR: 0.0589818, RMSE: 0.9697782, NOVELTY: 0.0050743, AVERAGE_POPULARITY: 0.7541943, DIVERSITY_MEAN_INTER_LIST: 0.6816336, DIVERSITY_HERFINDAHL: 0.9681591, COVERAGE_ITEM: 0.2113872, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0426280, SHANNON_ENTROPY: 6.1054604, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 30, 'shrink': 536, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1000266, PRECISION: 0.0157482, PRECISION_RECALL_MIN_DEN: 0.0524939, RECALL: 0.0524939, MAP: 0.0264314, MRR: 0.0728806, NDCG: 0.0446573, F1: 0.0242280, HIT_RATE: 0.1574818, ARHR: 0.0760408, RMSE: 6.9358416, NOVELTY: 0.0056507, AVERAGE_POPULARITY: 0.4904369, DIVERSITY_MEAN_INTER_LIST: 0.9404051, DIVERSITY_HERFINDAHL: 0.9940347, COVERAGE_ITEM: 0.5584325, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1188865, SHANNON_ENTROPY: 9.1730552, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'shrink': 645, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1256528, PRECISION: 0.0198072, PRECISION_RECALL_MIN_DEN: 0.0660241, RECALL: 0.0660241, MAP: 0.0334558, MRR: 0.0905565, NDCG: 0.0561168, F1: 0.0304727, HIT_RATE: 0.1980724, ARHR: 0.0953433, RMSE: 0.9774910, NOVELTY: 0.0066608, AVERAGE_POPULARITY: 0.2147139, DIVERSITY_MEAN_INTER_LIST: 0.9884091, DIVERSITY_HERFINDAHL: 0.9988348, COVERAGE_ITEM: 0.7339737, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2212624, SHANNON_ENTROPY: 11.1570415, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 16, 'shrink': 588, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1046173, PRECISION: 0.0164587, PRECISION_RECALL_MIN_DEN: 0.0548622, RECALL: 0.0548622, MAP: 0.0273388, MRR: 0.0750018, NDCG: 0.0463251, F1: 0.0253210, HIT_RATE: 0.1645867, ARHR: 0.0784366, RMSE: 0.9907916, NOVELTY: 0.0058435, AVERAGE_POPULARITY: 0.4126819, DIVERSITY_MEAN_INTER_LIST: 0.9664573, DIVERSITY_HERFINDAHL: 0.9966398, COVERAGE_ITEM: 0.6155774, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1373568, SHANNON_ENTROPY: 9.8089110, 
