SearchBayesianSkopt: New best config found. Config 0: {'topK': 43, 'shrink': 305, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.82252737063435, 'tversky_beta': 0.8684771249773005} - results: ROC_AUC: 0.1117423, PRECISION: 0.0174348, PRECISION_RECALL_MIN_DEN: 0.0581161, RECALL: 0.0581161, MAP: 0.0296601, MRR: 0.0811205, NDCG: 0.0497578, F1: 0.0268228, HIT_RATE: 0.1743482, ARHR: 0.0849630, RMSE: 0.9871783, NOVELTY: 0.0058273, AVERAGE_POPULARITY: 0.3840815, DIVERSITY_MEAN_INTER_LIST: 0.9720921, DIVERSITY_HERFINDAHL: 0.9972032, COVERAGE_ITEM: 0.5124243, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1326919, SHANNON_ENTROPY: 9.8184534, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 940, 'shrink': 38, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5961119006559716, 'tversky_beta': 1.6838305669498712} - results: ROC_AUC: 0.1138038, PRECISION: 0.0177561, PRECISION_RECALL_MIN_DEN: 0.0591870, RECALL: 0.0591870, MAP: 0.0308053, MRR: 0.0839546, NDCG: 0.0512319, F1: 0.0273171, HIT_RATE: 0.1775609, ARHR: 0.0881044, RMSE: 0.9564860, NOVELTY: 0.0057866, AVERAGE_POPULARITY: 0.4446391, DIVERSITY_MEAN_INTER_LIST: 0.9396280, DIVERSITY_HERFINDAHL: 0.9939570, COVERAGE_ITEM: 0.6056936, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1343844, SHANNON_ENTROPY: 9.4111450, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 388, 'shrink': 487, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.5690587788936372, 'tversky_beta': 1.6040310321179383} - results: ROC_AUC: 0.1024015, PRECISION: 0.0161003, PRECISION_RECALL_MIN_DEN: 0.0536678, RECALL: 0.0536678, MAP: 0.0273493, MRR: 0.0752319, NDCG: 0.0459520, F1: 0.0247697, HIT_RATE: 0.1610033, ARHR: 0.0785759, RMSE: 0.9791760, NOVELTY: 0.0053835, AVERAGE_POPULARITY: 0.5781062, DIVERSITY_MEAN_INTER_LIST: 0.8928678, DIVERSITY_HERFINDAHL: 0.9892813, COVERAGE_ITEM: 0.3484374, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0792393, SHANNON_ENTROPY: 8.0476556, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 830, 'shrink': 835, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.357889503225477, 'tversky_beta': 0.14222016606490231} - results: ROC_AUC: 0.0947787, PRECISION: 0.0148647, PRECISION_RECALL_MIN_DEN: 0.0495490, RECALL: 0.0495490, MAP: 0.0250436, MRR: 0.0694452, NDCG: 0.0423114, F1: 0.0228688, HIT_RATE: 0.1486470, ARHR: 0.0722520, RMSE: 0.9748718, NOVELTY: 0.0052371, AVERAGE_POPULARITY: 0.6528402, DIVERSITY_MEAN_INTER_LIST: 0.8274788, DIVERSITY_HERFINDAHL: 0.9827428, COVERAGE_ITEM: 0.2804343, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0595578, SHANNON_ENTROPY: 7.2236208, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 302, 'shrink': 565, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0679708575304887, 'tversky_beta': 0.029547078706132497} - results: ROC_AUC: 0.1002975, PRECISION: 0.0157729, PRECISION_RECALL_MIN_DEN: 0.0525763, RECALL: 0.0525763, MAP: 0.0267224, MRR: 0.0737178, NDCG: 0.0449850, F1: 0.0242660, HIT_RATE: 0.1577289, ARHR: 0.0768928, RMSE: 0.9705182, NOVELTY: 0.0053760, AVERAGE_POPULARITY: 0.5819387, DIVERSITY_MEAN_INTER_LIST: 0.8927942, DIVERSITY_HERFINDAHL: 0.9892739, COVERAGE_ITEM: 0.3620798, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0761058, SHANNON_ENTROPY: 8.0032747, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 807, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0289698, PRECISION: 0.0053256, PRECISION_RECALL_MIN_DEN: 0.0177520, RECALL: 0.0177520, MAP: 0.0061538, MRR: 0.0178847, NDCG: 0.0123215, F1: 0.0081932, HIT_RATE: 0.0532559, ARHR: 0.0181654, RMSE: 4.8190779, NOVELTY: 0.0059355, AVERAGE_POPULARITY: 0.3314293, DIVERSITY_MEAN_INTER_LIST: 0.9850843, DIVERSITY_HERFINDAHL: 0.9985023, COVERAGE_ITEM: 0.3975778, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2209956, SHANNON_ENTROPY: 10.4912223, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 745, 'shrink': 742, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.032391371771194666} - results: ROC_AUC: 0.0999213, PRECISION: 0.0155999, PRECISION_RECALL_MIN_DEN: 0.0519997, RECALL: 0.0519997, MAP: 0.0265483, MRR: 0.0733513, NDCG: 0.0446356, F1: 0.0239998, HIT_RATE: 0.1559990, ARHR: 0.0764471, RMSE: 0.9750452, NOVELTY: 0.0053426, AVERAGE_POPULARITY: 0.5903470, DIVERSITY_MEAN_INTER_LIST: 0.8798452, DIVERSITY_HERFINDAHL: 0.9879791, COVERAGE_ITEM: 0.3098768, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0725273, SHANNON_ENTROPY: 7.8086073, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 8, 'shrink': 124, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 1.6373637445918607} - results: ROC_AUC: 0.1226760, PRECISION: 0.0194983, PRECISION_RECALL_MIN_DEN: 0.0649944, RECALL: 0.0649944, MAP: 0.0325684, MRR: 0.0885819, NDCG: 0.0549186, F1: 0.0299974, HIT_RATE: 0.1949833, ARHR: 0.0930486, RMSE: 0.9934209, NOVELTY: 0.0060998, AVERAGE_POPULARITY: 0.2999633, DIVERSITY_MEAN_INTER_LIST: 0.9841017, DIVERSITY_HERFINDAHL: 0.9984041, COVERAGE_ITEM: 0.5509153, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1692505, SHANNON_ENTROPY: 10.4705224, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 109, 'shrink': 951, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9831614442352659, 'tversky_beta': 1.9771542527794792} - results: ROC_AUC: 0.1045584, PRECISION: 0.0165575, PRECISION_RECALL_MIN_DEN: 0.0551917, RECALL: 0.0551917, MAP: 0.0277281, MRR: 0.0763866, NDCG: 0.0468584, F1: 0.0254731, HIT_RATE: 0.1655752, ARHR: 0.0797212, RMSE: 0.9910284, NOVELTY: 0.0055144, AVERAGE_POPULARITY: 0.5218946, DIVERSITY_MEAN_INTER_LIST: 0.9300359, DIVERSITY_HERFINDAHL: 0.9929978, COVERAGE_ITEM: 0.4341199, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.0942947, SHANNON_ENTROPY: 8.6751656, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 972, 'shrink': 71, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9942684908959125, 'tversky_beta': 0.4251917119706815} - results: ROC_AUC: 0.1118107, PRECISION: 0.0170641, PRECISION_RECALL_MIN_DEN: 0.0568804, RECALL: 0.0568804, MAP: 0.0296686, MRR: 0.0812565, NDCG: 0.0494156, F1: 0.0262525, HIT_RATE: 0.1706413, ARHR: 0.0850585, RMSE: 0.9397051, NOVELTY: 0.0060744, AVERAGE_POPULARITY: 0.2998145, DIVERSITY_MEAN_INTER_LIST: 0.9757197, DIVERSITY_HERFINDAHL: 0.9975659, COVERAGE_ITEM: 0.5611471, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.1610358, SHANNON_ENTROPY: 10.2033239, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 117, 'shrink': 30, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9698902401216107, 'tversky_beta': 0.03060042411988851} - results: ROC_AUC: 0.0854784, PRECISION: 0.0124923, PRECISION_RECALL_MIN_DEN: 0.0416409, RECALL: 0.0416409, MAP: 0.0225195, MRR: 0.0626208, NDCG: 0.0371967, F1: 0.0192189, HIT_RATE: 0.1249228, ARHR: 0.0650404, RMSE: 0.9439377, NOVELTY: 0.0071006, AVERAGE_POPULARITY: 0.1061259, DIVERSITY_MEAN_INTER_LIST: 0.9932444, DIVERSITY_HERFINDAHL: 0.9993183, COVERAGE_ITEM: 0.7911881, COVERAGE_USER: 0.9999382, DIVERSITY_GINI: 0.2642084, SHANNON_ENTROPY: 11.7222472, 
