SearchBayesianSkopt: New best config found. Config 11: {'topK': 1000, 'shrink': 781, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0730981, PRECISION: 0.0119655, PRECISION_RECALL_MIN_DEN: 0.0398849, RECALL: 0.0398849, MAP: 0.0186453, MRR: 0.0520496, NDCG: 0.0325187, F1: 0.0184084, HIT_RATE: 0.1196548, ARHR: 0.0539714, RMSE: 2.0139154, NOVELTY: 0.0072304, AVERAGE_POPULARITY: 0.5305988, DIVERSITY_MEAN_INTER_LIST: 0.8438461, DIVERSITY_HERFINDAHL: 0.9843805, COVERAGE_ITEM: 0.1625974, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0496420, SHANNON_ENTROPY: 6.8511602, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 999, 'shrink': 102, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0271234, PRECISION: 0.0039724, PRECISION_RECALL_MIN_DEN: 0.0132414, RECALL: 0.0132414, MAP: 0.0070355, MRR: 0.0199696, NDCG: 0.0117607, F1: 0.0061114, HIT_RATE: 0.0397242, ARHR: 0.0205306, RMSE: 1.5375524, NOVELTY: 0.0099952, AVERAGE_POPULARITY: 0.0219802, DIVERSITY_MEAN_INTER_LIST: 0.9506379, DIVERSITY_HERFINDAHL: 0.9950592, COVERAGE_ITEM: 0.9012895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4953961, SHANNON_ENTROPY: 11.9538661, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 994, 'shrink': 11, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0716054, PRECISION: 0.0116184, PRECISION_RECALL_MIN_DEN: 0.0387279, RECALL: 0.0387279, MAP: 0.0184038, MRR: 0.0513128, NDCG: 0.0318827, F1: 0.0178744, HIT_RATE: 0.1161838, ARHR: 0.0532418, RMSE: 312.1193914, NOVELTY: 0.0072543, AVERAGE_POPULARITY: 0.5201574, DIVERSITY_MEAN_INTER_LIST: 0.8518139, DIVERSITY_HERFINDAHL: 0.9851773, COVERAGE_ITEM: 0.1800746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0519574, SHANNON_ENTROPY: 6.9900536, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 997, 'shrink': 12, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0735291, PRECISION: 0.0119076, PRECISION_RECALL_MIN_DEN: 0.0396921, RECALL: 0.0396921, MAP: 0.0187482, MRR: 0.0523755, NDCG: 0.0325731, F1: 0.0183194, HIT_RATE: 0.1190763, ARHR: 0.0542905, RMSE: 4.1078612, NOVELTY: 0.0072440, AVERAGE_POPULARITY: 0.5260438, DIVERSITY_MEAN_INTER_LIST: 0.8475510, DIVERSITY_HERFINDAHL: 0.9847510, COVERAGE_ITEM: 0.1904824, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475053, SHANNON_ENTROPY: 6.9063112, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 998, 'shrink': 941, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0714002, PRECISION: 0.0116184, PRECISION_RECALL_MIN_DEN: 0.0387279, RECALL: 0.0387279, MAP: 0.0184029, MRR: 0.0512522, NDCG: 0.0318698, F1: 0.0178744, HIT_RATE: 0.1161838, ARHR: 0.0532101, RMSE: 3.5851212, NOVELTY: 0.0072538, AVERAGE_POPULARITY: 0.5204680, DIVERSITY_MEAN_INTER_LIST: 0.8515553, DIVERSITY_HERFINDAHL: 0.9851514, COVERAGE_ITEM: 0.1800746, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0518864, SHANNON_ENTROPY: 6.9867132, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 996, 'shrink': 69, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0733342, PRECISION: 0.0119655, PRECISION_RECALL_MIN_DEN: 0.0398849, RECALL: 0.0398849, MAP: 0.0187344, MRR: 0.0523188, NDCG: 0.0326118, F1: 0.0184084, HIT_RATE: 0.1196548, ARHR: 0.0542414, RMSE: 3.7598104, NOVELTY: 0.0072383, AVERAGE_POPULARITY: 0.5278248, DIVERSITY_MEAN_INTER_LIST: 0.8463755, DIVERSITY_HERFINDAHL: 0.9846335, COVERAGE_ITEM: 0.1804019, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0478396, SHANNON_ENTROPY: 6.8818172, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0725484, PRECISION: 0.0120040, PRECISION_RECALL_MIN_DEN: 0.0400135, RECALL: 0.0400135, MAP: 0.0186216, MRR: 0.0518905, NDCG: 0.0325091, F1: 0.0184678, HIT_RATE: 0.1200405, ARHR: 0.0538536, RMSE: 1.8028060, NOVELTY: 0.0072320, AVERAGE_POPULARITY: 0.5298647, DIVERSITY_MEAN_INTER_LIST: 0.8443415, DIVERSITY_HERFINDAHL: 0.9844301, COVERAGE_ITEM: 0.1634483, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498916, SHANNON_ENTROPY: 6.8614996, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0725484, PRECISION: 0.0120040, PRECISION_RECALL_MIN_DEN: 0.0400135, RECALL: 0.0400135, MAP: 0.0186216, MRR: 0.0518905, NDCG: 0.0325091, F1: 0.0184678, HIT_RATE: 0.1200405, ARHR: 0.0538536, RMSE: 1.8028060, NOVELTY: 0.0072320, AVERAGE_POPULARITY: 0.5298647, DIVERSITY_MEAN_INTER_LIST: 0.8443415, DIVERSITY_HERFINDAHL: 0.9844301, COVERAGE_ITEM: 0.1634483, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0498916, SHANNON_ENTROPY: 6.8614996, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 999, 'shrink': 996, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0714176, PRECISION: 0.0116280, PRECISION_RECALL_MIN_DEN: 0.0387601, RECALL: 0.0387601, MAP: 0.0184163, MRR: 0.0512767, NDCG: 0.0318916, F1: 0.0178893, HIT_RATE: 0.1162802, ARHR: 0.0532423, RMSE: 3.3958718, NOVELTY: 0.0072536, AVERAGE_POPULARITY: 0.5205721, DIVERSITY_MEAN_INTER_LIST: 0.8514734, DIVERSITY_HERFINDAHL: 0.9851432, COVERAGE_ITEM: 0.1798782, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0518908, SHANNON_ENTROPY: 6.9856505, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 999, 'shrink': 32, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0653158, PRECISION: 0.0105530, PRECISION_RECALL_MIN_DEN: 0.0351765, RECALL: 0.0351765, MAP: 0.0170188, MRR: 0.0477763, NDCG: 0.0293097, F1: 0.0162353, HIT_RATE: 0.1055296, ARHR: 0.0493921, RMSE: 1.0538477, NOVELTY: 0.0073671, AVERAGE_POPULARITY: 0.4772397, DIVERSITY_MEAN_INTER_LIST: 0.8773922, DIVERSITY_HERFINDAHL: 0.9877350, COVERAGE_ITEM: 0.2732866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0620568, SHANNON_ENTROPY: 7.5181753, 
