SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 12, 'shrink': 1088, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0854703, PRECISION: 0.0143943, PRECISION_RECALL_MIN_DEN: 0.0479809, RECALL: 0.0479809, MAP: 0.0215603, MRR: 0.0590866, NDCG: 0.0380093, F1: 0.0221450, HIT_RATE: 0.1439427, ARHR: 0.0618373, RMSE: 0.9998059, NOVELTY: 0.0064544, AVERAGE_POPULARITY: 0.2376902, DIVERSITY_MEAN_INTER_LIST: 0.9909663, DIVERSITY_HERFINDAHL: 0.9990905, COVERAGE_ITEM: 0.7803731, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3130003, SHANNON_ENTROPY: 11.9417872, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0998996, PRECISION: 0.0161549, PRECISION_RECALL_MIN_DEN: 0.0538498, RECALL: 0.0538498, MAP: 0.0257552, MRR: 0.0705099, NDCG: 0.0442978, F1: 0.0248538, HIT_RATE: 0.1615494, ARHR: 0.0738118, RMSE: 0.9999318, NOVELTY: 0.0066653, AVERAGE_POPULARITY: 0.1853281, DIVERSITY_MEAN_INTER_LIST: 0.9904867, DIVERSITY_HERFINDAHL: 0.9990425, COVERAGE_ITEM: 0.7352257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3367576, SHANNON_ENTROPY: 12.0185198, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 13, 'shrink': 1004, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0073035, PRECISION: 0.0009081, PRECISION_RECALL_MIN_DEN: 0.0030271, RECALL: 0.0030271, MAP: 0.0022383, MRR: 0.0066355, NDCG: 0.0033921, F1: 0.0013971, HIT_RATE: 0.0090814, ARHR: 0.0066752, RMSE: 0.9999962, NOVELTY: 0.0059645, AVERAGE_POPULARITY: 0.0090493, DIVERSITY_MEAN_INTER_LIST: 0.4071446, DIVERSITY_HERFINDAHL: 0.9407119, COVERAGE_ITEM: 0.3838875, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0673290, SHANNON_ENTROPY: 5.2865629, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 7, 'shrink': 1061, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0955216, PRECISION: 0.0157410, PRECISION_RECALL_MIN_DEN: 0.0524701, RECALL: 0.0524701, MAP: 0.0243024, MRR: 0.0666161, NDCG: 0.0423374, F1: 0.0242170, HIT_RATE: 0.1574103, ARHR: 0.0696943, RMSE: 0.9998486, NOVELTY: 0.0065920, AVERAGE_POPULARITY: 0.2024333, DIVERSITY_MEAN_INTER_LIST: 0.9921125, DIVERSITY_HERFINDAHL: 0.9992051, COVERAGE_ITEM: 0.7625845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3341692, SHANNON_ENTROPY: 12.0788025, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 8, 'shrink': 1888, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0934198, PRECISION: 0.0156175, PRECISION_RECALL_MIN_DEN: 0.0520582, RECALL: 0.0520582, MAP: 0.0234745, MRR: 0.0643647, NDCG: 0.0413441, F1: 0.0240269, HIT_RATE: 0.1561747, ARHR: 0.0673364, RMSE: 0.9999110, NOVELTY: 0.0065220, AVERAGE_POPULARITY: 0.2197602, DIVERSITY_MEAN_INTER_LIST: 0.9912786, DIVERSITY_HERFINDAHL: 0.9991217, COVERAGE_ITEM: 0.7646391, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3064177, SHANNON_ENTROPY: 11.9294556, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0998996, PRECISION: 0.0161549, PRECISION_RECALL_MIN_DEN: 0.0538498, RECALL: 0.0538498, MAP: 0.0257552, MRR: 0.0705099, NDCG: 0.0442978, F1: 0.0248538, HIT_RATE: 0.1615494, ARHR: 0.0738118, RMSE: 0.9999318, NOVELTY: 0.0066653, AVERAGE_POPULARITY: 0.1853281, DIVERSITY_MEAN_INTER_LIST: 0.9904867, DIVERSITY_HERFINDAHL: 0.9990425, COVERAGE_ITEM: 0.7352257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3367576, SHANNON_ENTROPY: 12.0185198, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 8, 'shrink': 1018, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0922723, PRECISION: 0.0155680, PRECISION_RECALL_MIN_DEN: 0.0518935, RECALL: 0.0518935, MAP: 0.0232432, MRR: 0.0636167, NDCG: 0.0410165, F1: 0.0239508, HIT_RATE: 0.1556805, ARHR: 0.0666131, RMSE: 0.9998348, NOVELTY: 0.0065170, AVERAGE_POPULARITY: 0.2192758, DIVERSITY_MEAN_INTER_LIST: 0.9914496, DIVERSITY_HERFINDAHL: 0.9991388, COVERAGE_ITEM: 0.7636118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3056856, SHANNON_ENTROPY: 11.9363741, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0998996, PRECISION: 0.0161549, PRECISION_RECALL_MIN_DEN: 0.0538498, RECALL: 0.0538498, MAP: 0.0257552, MRR: 0.0705099, NDCG: 0.0442978, F1: 0.0248538, HIT_RATE: 0.1615494, ARHR: 0.0738118, RMSE: 0.9999318, NOVELTY: 0.0066653, AVERAGE_POPULARITY: 0.1853281, DIVERSITY_MEAN_INTER_LIST: 0.9904867, DIVERSITY_HERFINDAHL: 0.9990425, COVERAGE_ITEM: 0.7352257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3367576, SHANNON_ENTROPY: 12.0185198, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 6, 'shrink': 1997, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0957948, PRECISION: 0.0156792, PRECISION_RECALL_MIN_DEN: 0.0522642, RECALL: 0.0522642, MAP: 0.0245320, MRR: 0.0669102, NDCG: 0.0424656, F1: 0.0241219, HIT_RATE: 0.1567925, ARHR: 0.0701775, RMSE: 0.9999255, NOVELTY: 0.0066039, AVERAGE_POPULARITY: 0.1964722, DIVERSITY_MEAN_INTER_LIST: 0.9918180, DIVERSITY_HERFINDAHL: 0.9991757, COVERAGE_ITEM: 0.7487429, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3312578, SHANNON_ENTROPY: 12.0535303, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 6, 'shrink': 1954, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0995406, PRECISION: 0.0163465, PRECISION_RECALL_MIN_DEN: 0.0544882, RECALL: 0.0544882, MAP: 0.0257371, MRR: 0.0702148, NDCG: 0.0444304, F1: 0.0251484, HIT_RATE: 0.1634645, ARHR: 0.0736396, RMSE: 0.9999344, NOVELTY: 0.0064773, AVERAGE_POPULARITY: 0.1715502, DIVERSITY_MEAN_INTER_LIST: 0.9837315, DIVERSITY_HERFINDAHL: 0.9983671, COVERAGE_ITEM: 0.7494458, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3200841, SHANNON_ENTROPY: 11.7649787, 
