CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 2435, 'shrink': 1832, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.020410±0.0004, PRECISION: 0.003422±0.0001, PRECISION_RECALL_MIN_DEN: 0.034218±0.0008, RECALL: 0.034218±0.0008, MAP: 0.013062±0.0003, MRR: 0.013062±0.0003, NDCG: 0.017958±0.0004, F1: 0.006221±0.0001, HIT_RATE: 0.034218±0.0008, ARHR: 0.013062±0.0003, RMSE: 0.995222±0.0003, NOVELTY: 0.005412±0.0000, AVERAGE_POPULARITY: 0.532834±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.918102±0.0023, DIVERSITY_HERFINDAHL: 0.991805±0.0002, COVERAGE_ITEM: 0.179216±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.086546±0.0010, SHANNON_ENTROPY: 8.118895±0.0326, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 3928, 'shrink': 1996, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057634±0.0009, PRECISION: 0.008393±0.0002, PRECISION_RECALL_MIN_DEN: 0.083928±0.0020, RECALL: 0.083928±0.0020, MAP: 0.040689±0.0007, MRR: 0.040689±0.0007, NDCG: 0.050818±0.0009, F1: 0.015260±0.0004, HIT_RATE: 0.083928±0.0020, ARHR: 0.040689±0.0007, RMSE: 1.327686±0.0081, NOVELTY: 0.005185±0.0000, AVERAGE_POPULARITY: 0.663895±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.858359±0.0010, DIVERSITY_HERFINDAHL: 0.985831±0.0001, COVERAGE_ITEM: 0.159102±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058194±0.0006, SHANNON_ENTROPY: 7.198467±0.0091, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 3906, 'shrink': 1257, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.023638±0.0005, PRECISION: 0.003779±0.0001, PRECISION_RECALL_MIN_DEN: 0.037795±0.0007, RECALL: 0.037795±0.0007, MAP: 0.015495±0.0003, MRR: 0.015495±0.0003, NDCG: 0.020679±0.0003, F1: 0.006872±0.0001, HIT_RATE: 0.037795±0.0007, ARHR: 0.015495±0.0003, RMSE: 1.106410±0.0126, NOVELTY: 0.005643±0.0000, AVERAGE_POPULARITY: 0.466116±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.941122±0.0022, DIVERSITY_HERFINDAHL: 0.994107±0.0002, COVERAGE_ITEM: 0.265174±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098189±0.0009, SHANNON_ENTROPY: 8.736803±0.0332, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 153, 'shrink': 568, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048969±0.0008, PRECISION: 0.006956±0.0001, PRECISION_RECALL_MIN_DEN: 0.069564±0.0008, RECALL: 0.069564±0.0008, MAP: 0.035345±0.0009, MRR: 0.035345±0.0009, NDCG: 0.043378±0.0009, F1: 0.012648±0.0001, HIT_RATE: 0.069564±0.0008, ARHR: 0.035345±0.0009, RMSE: 0.943893±0.0007, NOVELTY: 0.005612±0.0000, AVERAGE_POPULARITY: 0.466922±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.956621±0.0004, DIVERSITY_HERFINDAHL: 0.995657±0.0000, COVERAGE_ITEM: 0.312614±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.131171±0.0008, SHANNON_ENTROPY: 9.357816±0.0134, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1729, 'shrink': 531, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.021705±0.0005, PRECISION: 0.003414±0.0001, PRECISION_RECALL_MIN_DEN: 0.034138±0.0009, RECALL: 0.034138±0.0009, MAP: 0.014285±0.0004, MRR: 0.014285±0.0004, NDCG: 0.018910±0.0005, F1: 0.006207±0.0002, HIT_RATE: 0.034138±0.0009, ARHR: 0.014285±0.0004, RMSE: 0.995906±0.0004, NOVELTY: 0.005610±0.0000, AVERAGE_POPULARITY: 0.458734±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.948522±0.0014, DIVERSITY_HERFINDAHL: 0.994847±0.0001, COVERAGE_ITEM: 0.230203±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118013±0.0011, SHANNON_ENTROPY: 8.904698±0.0291, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 3991, 'shrink': 1733, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062913±0.0010, PRECISION: 0.008839±0.0002, PRECISION_RECALL_MIN_DEN: 0.088393±0.0016, RECALL: 0.088393±0.0016, MAP: 0.044908±0.0008, MRR: 0.044908±0.0008, NDCG: 0.055149±0.0010, F1: 0.016071±0.0003, HIT_RATE: 0.088393±0.0016, ARHR: 0.044908±0.0008, RMSE: 1.290443±0.0079, NOVELTY: 0.005261±0.0000, AVERAGE_POPULARITY: 0.632561±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.881334±0.0004, DIVERSITY_HERFINDAHL: 0.988128±0.0000, COVERAGE_ITEM: 0.223952±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.065916±0.0003, SHANNON_ENTROPY: 7.629668±0.0080, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 2559, 'shrink': 296, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.063599±0.0011, PRECISION: 0.008975±0.0002, PRECISION_RECALL_MIN_DEN: 0.089748±0.0017, RECALL: 0.089748±0.0017, MAP: 0.045316±0.0009, MRR: 0.045316±0.0009, NDCG: 0.055773±0.0010, F1: 0.016318±0.0003, HIT_RATE: 0.089748±0.0017, ARHR: 0.045316±0.0009, RMSE: 7.455360±0.0377, NOVELTY: 0.005265±0.0000, AVERAGE_POPULARITY: 0.625213±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.886356±0.0004, DIVERSITY_HERFINDAHL: 0.988631±0.0000, COVERAGE_ITEM: 0.201179±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066022±0.0004, SHANNON_ENTROPY: 7.620240±0.0088, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 2972, 'shrink': 1174, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066287±0.0012, PRECISION: 0.009255±0.0002, PRECISION_RECALL_MIN_DEN: 0.092550±0.0019, RECALL: 0.092550±0.0019, MAP: 0.047695±0.0010, MRR: 0.047695±0.0010, NDCG: 0.058268±0.0011, F1: 0.016827±0.0003, HIT_RATE: 0.092550±0.0019, ARHR: 0.047695±0.0010, RMSE: 1.659392±0.0128, NOVELTY: 0.005455±0.0000, AVERAGE_POPULARITY: 0.549260±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.924305±0.0003, DIVERSITY_HERFINDAHL: 0.992425±0.0000, COVERAGE_ITEM: 0.334858±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089139±0.0002, SHANNON_ENTROPY: 8.531717±0.0040, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1883, 'shrink': 1135, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057433±0.0010, PRECISION: 0.008213±0.0002, PRECISION_RECALL_MIN_DEN: 0.082128±0.0016, RECALL: 0.082128±0.0016, MAP: 0.040739±0.0007, MRR: 0.040739±0.0007, NDCG: 0.050461±0.0009, F1: 0.014932±0.0003, HIT_RATE: 0.082128±0.0016, ARHR: 0.040739±0.0007, RMSE: 0.835484±0.0016, NOVELTY: 0.005108±0.0000, AVERAGE_POPULARITY: 0.704585±0.0053, DIVERSITY_MEAN_INTER_LIST: 0.822527±0.0008, DIVERSITY_HERFINDAHL: 0.982248±0.0001, COVERAGE_ITEM: 0.100362±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.061041±0.0005, SHANNON_ENTROPY: 6.777795±0.0040, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 22, 'shrink': 803, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.021956±0.0005, PRECISION: 0.002949±0.0000, PRECISION_RECALL_MIN_DEN: 0.029491±0.0004, RECALL: 0.029491±0.0004, MAP: 0.016462±0.0006, MRR: 0.016462±0.0006, NDCG: 0.019538±0.0005, F1: 0.005362±0.0001, HIT_RATE: 0.029491±0.0004, ARHR: 0.016462±0.0006, RMSE: 0.932558±0.0026, NOVELTY: 0.007435±0.0000, AVERAGE_POPULARITY: 0.115533±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.998071±0.0000, DIVERSITY_HERFINDAHL: 0.999801±0.0000, COVERAGE_ITEM: 0.762044±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.526532±0.0013, SHANNON_ENTROPY: 13.125028±0.0049, 
