CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 470, 'regularization': 0.35048672404714526, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 20.96459355206244} - results: ROC_AUC: 0.030458±0.0011, PRECISION: 0.004702±0.0003, PRECISION_RECALL_MIN_DEN: 0.047019±0.0029, RECALL: 0.047019±0.0029, MAP: 0.020458±0.0009, MRR: 0.020458±0.0009, NDCG: 0.026650±0.0013, F1: 0.008549±0.0005, HIT_RATE: 0.047019±0.0029, ARHR: 0.020458±0.0009, RMSE: 0.914831±0.0016, NOVELTY: 0.006077±0.0000, AVERAGE_POPULARITY: 0.245595±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.991533±0.0000, DIVERSITY_HERFINDAHL: 0.999131±0.0000, COVERAGE_ITEM: 0.165266±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.386746±0.0034, SHANNON_ENTROPY: 10.633462±0.0059, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 430, 'regularization': 16.12982405822889, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.10235210578204514} - results: ROC_AUC: 0.009089±0.0014, PRECISION: 0.001811±0.0003, PRECISION_RECALL_MIN_DEN: 0.018112±0.0027, RECALL: 0.018112±0.0027, MAP: 0.005319±0.0005, MRR: 0.005319±0.0005, NDCG: 0.008239±0.0010, F1: 0.003293±0.0005, HIT_RATE: 0.018112±0.0027, ARHR: 0.005319±0.0005, RMSE: 1.000000±0.0000, NOVELTY: 0.004899±0.0000, AVERAGE_POPULARITY: 0.843438±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.114891±0.0012, DIVERSITY_HERFINDAHL: 0.911486±0.0001, COVERAGE_ITEM: 0.001611±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.385065±0.0177, SHANNON_ENTROPY: 3.566737±0.0024, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 385, 'regularization': 0.4274148257225407, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.4941591142709254} - results: ROC_AUC: 0.033880±0.0009, PRECISION: 0.005068±0.0001, PRECISION_RECALL_MIN_DEN: 0.050678±0.0014, RECALL: 0.050678±0.0014, MAP: 0.023040±0.0009, MRR: 0.023040±0.0009, NDCG: 0.029508±0.0008, F1: 0.009214±0.0003, HIT_RATE: 0.050678±0.0014, ARHR: 0.023040±0.0009, RMSE: 0.947902±0.0014, NOVELTY: 0.006022±0.0000, AVERAGE_POPULARITY: 0.231706±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.989545±0.0000, DIVERSITY_HERFINDAHL: 0.998932±0.0000, COVERAGE_ITEM: 0.100633±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.463625±0.0024, SHANNON_ENTROPY: 10.157209±0.0033, 
CrossSearchBayesianSkopt: New best config found. Config 14: {'num_factors': 406, 'regularization': 4.853705690289253, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.34370928029631664} - results: ROC_AUC: 0.042116±0.0013, PRECISION: 0.006256±0.0002, PRECISION_RECALL_MIN_DEN: 0.062556±0.0020, RECALL: 0.062556±0.0020, MAP: 0.027998±0.0014, MRR: 0.027998±0.0014, NDCG: 0.036117±0.0014, F1: 0.011374±0.0004, HIT_RATE: 0.062556±0.0020, ARHR: 0.027998±0.0014, RMSE: 0.992913±0.0001, NOVELTY: 0.005724±0.0000, AVERAGE_POPULARITY: 0.326996±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.972391±0.0001, DIVERSITY_HERFINDAHL: 0.997217±0.0000, COVERAGE_ITEM: 0.042671±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.435945±0.0017, SHANNON_ENTROPY: 8.832803±0.0039, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 395, 'regularization': 0.020714419399360563, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.7547903665202375} - results: ROC_AUC: 0.025765±0.0018, PRECISION: 0.003577±0.0002, PRECISION_RECALL_MIN_DEN: 0.035772±0.0021, RECALL: 0.035772±0.0021, MAP: 0.017899±0.0016, MRR: 0.017899±0.0016, NDCG: 0.022139±0.0016, F1: 0.006504±0.0004, HIT_RATE: 0.035772±0.0021, ARHR: 0.017899±0.0016, RMSE: 0.986447±0.0006, NOVELTY: 0.006126±0.0000, AVERAGE_POPULARITY: 0.181283±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.975036±0.0004, DIVERSITY_HERFINDAHL: 0.997482±0.0000, COVERAGE_ITEM: 0.059173±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.364336±0.0036, SHANNON_ENTROPY: 9.062201±0.0111, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 310, 'regularization': 11.562258258082506, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.5991377307873664} - results: ROC_AUC: 0.036846±0.0017, PRECISION: 0.005596±0.0002, PRECISION_RECALL_MIN_DEN: 0.055962±0.0015, RECALL: 0.055962±0.0015, MAP: 0.024589±0.0019, MRR: 0.024589±0.0019, NDCG: 0.031930±0.0017, F1: 0.010175±0.0003, HIT_RATE: 0.055962±0.0015, ARHR: 0.024589±0.0019, RMSE: 0.945218±0.0010, NOVELTY: 0.005860±0.0000, AVERAGE_POPULARITY: 0.282183±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.985646±0.0000, DIVERSITY_HERFINDAHL: 0.998542±0.0000, COVERAGE_ITEM: 0.074734±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.458718±0.0023, SHANNON_ENTROPY: 9.710372±0.0025, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 527, 'regularization': 13.22782449128696, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 19.57380331642653} - results: ROC_AUC: 0.032289±0.0016, PRECISION: 0.004941±0.0003, PRECISION_RECALL_MIN_DEN: 0.049413±0.0027, RECALL: 0.049413±0.0027, MAP: 0.021845±0.0010, MRR: 0.021845±0.0010, NDCG: 0.028279±0.0014, F1: 0.008984±0.0005, HIT_RATE: 0.049413±0.0027, ARHR: 0.021845±0.0010, RMSE: 0.917526±0.0025, NOVELTY: 0.006074±0.0000, AVERAGE_POPULARITY: 0.246273±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.991323±0.0000, DIVERSITY_HERFINDAHL: 0.999110±0.0000, COVERAGE_ITEM: 0.162758±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.385587±0.0019, SHANNON_ENTROPY: 10.606079±0.0050, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 399, 'regularization': 3.0640151549690757, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 1.3705368917028717} - results: ROC_AUC: 0.030794±0.0025, PRECISION: 0.004408±0.0004, PRECISION_RECALL_MIN_DEN: 0.044083±0.0035, RECALL: 0.044083±0.0035, MAP: 0.021186±0.0022, MRR: 0.021186±0.0022, NDCG: 0.026586±0.0024, F1: 0.008015±0.0006, HIT_RATE: 0.044083±0.0035, ARHR: 0.021186±0.0022, RMSE: 0.974521±0.0007, NOVELTY: 0.006068±0.0000, AVERAGE_POPULARITY: 0.199531±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.985402±0.0001, DIVERSITY_HERFINDAHL: 0.998518±0.0000, COVERAGE_ITEM: 0.067067±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.490127±0.0038, SHANNON_ENTROPY: 9.620446±0.0040, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 487, 'regularization': 12.339361985652225, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 10.04550277947799} - results: ROC_AUC: 0.034186±0.0009, PRECISION: 0.005081±0.0002, PRECISION_RECALL_MIN_DEN: 0.050813±0.0016, RECALL: 0.050813±0.0016, MAP: 0.023285±0.0007, MRR: 0.023285±0.0007, NDCG: 0.029740±0.0008, F1: 0.009239±0.0003, HIT_RATE: 0.050813±0.0016, ARHR: 0.023285±0.0007, RMSE: 0.928877±0.0015, NOVELTY: 0.006050±0.0000, AVERAGE_POPULARITY: 0.243410±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.990876±0.0000, DIVERSITY_HERFINDAHL: 0.999065±0.0000, COVERAGE_ITEM: 0.137291±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.413185±0.0022, SHANNON_ENTROPY: 10.460008±0.0057, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 393, 'regularization': 0.35495555227785236, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 76.60296625611136} - results: ROC_AUC: 0.026634±0.0013, PRECISION: 0.004164±0.0003, PRECISION_RECALL_MIN_DEN: 0.041644±0.0026, RECALL: 0.041644±0.0026, MAP: 0.017663±0.0010, MRR: 0.017663±0.0010, NDCG: 0.023254±0.0013, F1: 0.007572±0.0005, HIT_RATE: 0.041644±0.0026, ARHR: 0.017663±0.0010, RMSE: 0.893667±0.0023, NOVELTY: 0.006080±0.0000, AVERAGE_POPULARITY: 0.252268±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.991543±0.0001, DIVERSITY_HERFINDAHL: 0.999132±0.0000, COVERAGE_ITEM: 0.187478±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.360315±0.0008, SHANNON_ENTROPY: 10.705367±0.0085, 
