SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 162, 'shrink': 1483, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0384516, PRECISION: 0.0067358, PRECISION_RECALL_MIN_DEN: 0.0224525, RECALL: 0.0224525, MAP: 0.0092778, MRR: 0.0259295, NDCG: 0.0170105, F1: 0.0103627, HIT_RATE: 0.0673575, ARHR: 0.0268814, RMSE: 0.9999235, NOVELTY: 0.0066416, AVERAGE_POPULARITY: 0.0937227, DIVERSITY_MEAN_INTER_LIST: 0.9980059, DIVERSITY_HERFINDAHL: 0.9997702, COVERAGE_ITEM: 0.5539335, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5149526, SHANNON_ENTROPY: 12.6911497, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 992, 'shrink': 1454, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0433197, PRECISION: 0.0066748, PRECISION_RECALL_MIN_DEN: 0.0222493, RECALL: 0.0222493, MAP: 0.0101702, MRR: 0.0290994, NDCG: 0.0180706, F1: 0.0102689, HIT_RATE: 0.0667479, ARHR: 0.0298050, RMSE: 0.9996430, NOVELTY: 0.0066334, AVERAGE_POPULARITY: 0.1366296, DIVERSITY_MEAN_INTER_LIST: 0.9967129, DIVERSITY_HERFINDAHL: 0.9996409, COVERAGE_ITEM: 0.4795350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4579295, SHANNON_ENTROPY: 12.2687888, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 972, 'shrink': 36, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0447695, PRECISION: 0.0068881, PRECISION_RECALL_MIN_DEN: 0.0229605, RECALL: 0.0229605, MAP: 0.0111606, MRR: 0.0315026, NDCG: 0.0192503, F1: 0.0105971, HIT_RATE: 0.0688814, ARHR: 0.0324922, RMSE: 0.9742454, NOVELTY: 0.0068411, AVERAGE_POPULARITY: 0.1041877, DIVERSITY_MEAN_INTER_LIST: 0.9973997, DIVERSITY_HERFINDAHL: 0.9997096, COVERAGE_ITEM: 0.5000270, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4979018, SHANNON_ENTROPY: 12.4820894, 
SearchBayesianSkopt: New best config found. Config 14: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0481645, PRECISION: 0.0076806, PRECISION_RECALL_MIN_DEN: 0.0256020, RECALL: 0.0256020, MAP: 0.0116437, MRR: 0.0327368, NDCG: 0.0206049, F1: 0.0118163, HIT_RATE: 0.0768059, ARHR: 0.0338339, RMSE: 580141.4908137, NOVELTY: 0.0069627, AVERAGE_POPULARITY: 0.0918323, DIVERSITY_MEAN_INTER_LIST: 0.9963204, DIVERSITY_HERFINDAHL: 0.9996017, COVERAGE_ITEM: 0.4732630, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4856422, SHANNON_ENTROPY: 12.3310022, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 9, 'shrink': 1477, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0444457, PRECISION: 0.0072844, PRECISION_RECALL_MIN_DEN: 0.0242812, RECALL: 0.0242812, MAP: 0.0103584, MRR: 0.0288987, NDCG: 0.0187925, F1: 0.0112067, HIT_RATE: 0.0728436, ARHR: 0.0299870, RMSE: 0.9999761, NOVELTY: 0.0068864, AVERAGE_POPULARITY: 0.0876786, DIVERSITY_MEAN_INTER_LIST: 0.9556000, DIVERSITY_HERFINDAHL: 0.9955309, COVERAGE_ITEM: 0.4710462, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4116337, SHANNON_ENTROPY: 11.2992811, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 42, 'shrink': 3, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0482238, PRECISION: 0.0076196, PRECISION_RECALL_MIN_DEN: 0.0253988, RECALL: 0.0253988, MAP: 0.0113130, MRR: 0.0320638, NDCG: 0.0202416, F1: 0.0117225, HIT_RATE: 0.0761963, ARHR: 0.0330013, RMSE: 0.9777709, NOVELTY: 0.0069000, AVERAGE_POPULARITY: 0.1009644, DIVERSITY_MEAN_INTER_LIST: 0.9971257, DIVERSITY_HERFINDAHL: 0.9996822, COVERAGE_ITEM: 0.4818600, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4923712, SHANNON_ENTROPY: 12.4103944, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0450003, PRECISION: 0.0073453, PRECISION_RECALL_MIN_DEN: 0.0244844, RECALL: 0.0244844, MAP: 0.0110614, MRR: 0.0305953, NDCG: 0.0195319, F1: 0.0113005, HIT_RATE: 0.0734532, ARHR: 0.0318897, RMSE: 527909.3543063, NOVELTY: 0.0071370, AVERAGE_POPULARITY: 0.0928300, DIVERSITY_MEAN_INTER_LIST: 0.8767849, DIVERSITY_HERFINDAHL: 0.9876518, COVERAGE_ITEM: 0.3927548, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3322231, SHANNON_ENTROPY: 10.0096496, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 980, 'shrink': 20, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0431123, PRECISION: 0.0068881, PRECISION_RECALL_MIN_DEN: 0.0229605, RECALL: 0.0229605, MAP: 0.0100815, MRR: 0.0282939, NDCG: 0.0181009, F1: 0.0105971, HIT_RATE: 0.0688814, ARHR: 0.0292692, RMSE: 0.9970218, NOVELTY: 0.0067602, AVERAGE_POPULARITY: 0.0808931, DIVERSITY_MEAN_INTER_LIST: 0.9965676, DIVERSITY_HERFINDAHL: 0.9996264, COVERAGE_ITEM: 0.5163558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4965200, SHANNON_ENTROPY: 12.4750918, 
SearchBayesianSkopt: New best config found. Config 19: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0505837, PRECISION: 0.0075282, PRECISION_RECALL_MIN_DEN: 0.0250940, RECALL: 0.0250940, MAP: 0.0117808, MRR: 0.0326788, NDCG: 0.0205923, F1: 0.0115818, HIT_RATE: 0.0752819, ARHR: 0.0340105, RMSE: 0.9999802, NOVELTY: 0.0071490, AVERAGE_POPULARITY: 0.0938177, DIVERSITY_MEAN_INTER_LIST: 0.8942995, DIVERSITY_HERFINDAHL: 0.9894027, COVERAGE_ITEM: 0.3925926, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3427318, SHANNON_ENTROPY: 10.2204789, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0468374, PRECISION: 0.0073453, PRECISION_RECALL_MIN_DEN: 0.0244844, RECALL: 0.0244844, MAP: 0.0110402, MRR: 0.0308807, NDCG: 0.0196026, F1: 0.0113005, HIT_RATE: 0.0734532, ARHR: 0.0320006, RMSE: 0.9998934, NOVELTY: 0.0069358, AVERAGE_POPULARITY: 0.0915572, DIVERSITY_MEAN_INTER_LIST: 0.9962388, DIVERSITY_HERFINDAHL: 0.9995935, COVERAGE_ITEM: 0.4811571, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4787215, SHANNON_ENTROPY: 12.3242110, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 12, 'shrink': 32, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0474004, PRECISION: 0.0077111, PRECISION_RECALL_MIN_DEN: 0.0257035, RECALL: 0.0257035, MAP: 0.0113774, MRR: 0.0318447, NDCG: 0.0203216, F1: 0.0118632, HIT_RATE: 0.0771106, ARHR: 0.0329884, RMSE: 0.9987083, NOVELTY: 0.0067879, AVERAGE_POPULARITY: 0.0995370, DIVERSITY_MEAN_INTER_LIST: 0.9893095, DIVERSITY_HERFINDAHL: 0.9989008, COVERAGE_ITEM: 0.4933766, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4655549, SHANNON_ENTROPY: 12.0996644, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0482365, PRECISION: 0.0074368, PRECISION_RECALL_MIN_DEN: 0.0247892, RECALL: 0.0247892, MAP: 0.0115057, MRR: 0.0322991, NDCG: 0.0202145, F1: 0.0114412, HIT_RATE: 0.0743676, ARHR: 0.0334081, RMSE: 536257.8478605, NOVELTY: 0.0071576, AVERAGE_POPULARITY: 0.0952556, DIVERSITY_MEAN_INTER_LIST: 0.8932521, DIVERSITY_HERFINDAHL: 0.9892980, COVERAGE_ITEM: 0.3905380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3407534, SHANNON_ENTROPY: 10.2016513, 
SearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 994, 'shrink': 1429, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0454849, PRECISION: 0.0074368, PRECISION_RECALL_MIN_DEN: 0.0247892, RECALL: 0.0247892, MAP: 0.0109641, MRR: 0.0308020, NDCG: 0.0196032, F1: 0.0114412, HIT_RATE: 0.0743676, ARHR: 0.0318471, RMSE: 0.9998582, NOVELTY: 0.0068175, AVERAGE_POPULARITY: 0.1101724, DIVERSITY_MEAN_INTER_LIST: 0.9976138, DIVERSITY_HERFINDAHL: 0.9997310, COVERAGE_ITEM: 0.4948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4974799, SHANNON_ENTROPY: 12.4858820, 
