SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 989, 'shrink': 25, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1235280, PRECISION: 0.0063303, PRECISION_RECALL_MIN_DEN: 0.0633031, RECALL: 0.0633031, MAP: 0.0325444, MRR: 0.0325444, NDCG: 0.0397730, F1: 0.0115096, HIT_RATE: 0.0633031, ARHR: 0.0325444, RMSE: nan, NOVELTY: 0.0083284, AVERAGE_POPULARITY: 0.2325215, DIVERSITY_MEAN_INTER_LIST: 0.9813189, DIVERSITY_HERFINDAHL: 0.9977952, COVERAGE_ITEM: 0.8435557, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.2930323, SHANNON_ENTROPY: 11.4973237, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 976, 'shrink': 985, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1324440, PRECISION: 0.0075743, PRECISION_RECALL_MIN_DEN: 0.0757427, RECALL: 0.0757427, MAP: 0.0386502, MRR: 0.0386502, NDCG: 0.0473828, F1: 0.0137714, HIT_RATE: 0.0757427, ARHR: 0.0386502, RMSE: nan, NOVELTY: 0.0063721, AVERAGE_POPULARITY: 0.4322006, DIVERSITY_MEAN_INTER_LIST: 0.9442402, DIVERSITY_HERFINDAHL: 0.9934286, COVERAGE_ITEM: 0.6606664, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1158092, SHANNON_ENTROPY: 9.2899541, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 13, 'shrink': 998, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1259969, PRECISION: 0.0067477, PRECISION_RECALL_MIN_DEN: 0.0674769, RECALL: 0.0674769, MAP: 0.0339578, MRR: 0.0339578, NDCG: 0.0418301, F1: 0.0122685, HIT_RATE: 0.0674769, ARHR: 0.0339578, RMSE: nan, NOVELTY: 0.0066137, AVERAGE_POPULARITY: 0.3535408, DIVERSITY_MEAN_INTER_LIST: 0.9748334, DIVERSITY_HERFINDAHL: 0.9970314, COVERAGE_ITEM: 0.6752635, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1369991, SHANNON_ENTROPY: 10.0181642, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 74, 'shrink': 992, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1229551, PRECISION: 0.0063589, PRECISION_RECALL_MIN_DEN: 0.0635895, RECALL: 0.0635895, MAP: 0.0321504, MRR: 0.0321504, NDCG: 0.0395108, F1: 0.0115617, HIT_RATE: 0.0635895, ARHR: 0.0321504, RMSE: nan, NOVELTY: 0.0061217, AVERAGE_POPULARITY: 0.5019181, DIVERSITY_MEAN_INTER_LIST: 0.9220155, DIVERSITY_HERFINDAHL: 0.9908114, COVERAGE_ITEM: 0.5171827, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0942282, SHANNON_ENTROPY: 8.5686222, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1373817, PRECISION: 0.0082863, PRECISION_RECALL_MIN_DEN: 0.0828628, RECALL: 0.0828628, MAP: 0.0413743, MRR: 0.0413743, NDCG: 0.0511607, F1: 0.0150660, HIT_RATE: 0.0828628, ARHR: 0.0413743, RMSE: nan, NOVELTY: 0.0072559, AVERAGE_POPULARITY: 0.2060168, DIVERSITY_MEAN_INTER_LIST: 0.9908949, DIVERSITY_HERFINDAHL: 0.9989229, COVERAGE_ITEM: 0.7388885, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1926090, SHANNON_ENTROPY: 11.1182014, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1373817, PRECISION: 0.0082863, PRECISION_RECALL_MIN_DEN: 0.0828628, RECALL: 0.0828628, MAP: 0.0413743, MRR: 0.0413743, NDCG: 0.0511607, F1: 0.0150660, HIT_RATE: 0.0828628, ARHR: 0.0413743, RMSE: nan, NOVELTY: 0.0072559, AVERAGE_POPULARITY: 0.2060168, DIVERSITY_MEAN_INTER_LIST: 0.9908949, DIVERSITY_HERFINDAHL: 0.9989229, COVERAGE_ITEM: 0.7388885, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1926090, SHANNON_ENTROPY: 11.1182014, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 22, 'shrink': 25, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1197816, PRECISION: 0.0056592, PRECISION_RECALL_MIN_DEN: 0.0565922, RECALL: 0.0565922, MAP: 0.0300057, MRR: 0.0300057, NDCG: 0.0362845, F1: 0.0102895, HIT_RATE: 0.0565922, ARHR: 0.0300057, RMSE: nan, NOVELTY: 0.0094572, AVERAGE_POPULARITY: 0.0926589, DIVERSITY_MEAN_INTER_LIST: 0.9964895, DIVERSITY_HERFINDAHL: 0.9995818, COVERAGE_ITEM: 0.7676900, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.3681731, SHANNON_ENTROPY: 12.3592608, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 967, 'shrink': 996, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1324304, PRECISION: 0.0075702, PRECISION_RECALL_MIN_DEN: 0.0757018, RECALL: 0.0757018, MAP: 0.0386303, MRR: 0.0386303, NDCG: 0.0473579, F1: 0.0137640, HIT_RATE: 0.0757018, ARHR: 0.0386303, RMSE: nan, NOVELTY: 0.0063693, AVERAGE_POPULARITY: 0.4325208, DIVERSITY_MEAN_INTER_LIST: 0.9442240, DIVERSITY_HERFINDAHL: 0.9934267, COVERAGE_ITEM: 0.6568698, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1155689, SHANNON_ENTROPY: 9.2841614, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 992, 'shrink': 996, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1172264, PRECISION: 0.0055610, PRECISION_RECALL_MIN_DEN: 0.0556101, RECALL: 0.0556101, MAP: 0.0284170, MRR: 0.0284170, NDCG: 0.0347729, F1: 0.0101109, HIT_RATE: 0.0556101, ARHR: 0.0284170, RMSE: nan, NOVELTY: 0.0057222, AVERAGE_POPULARITY: 0.6491299, DIVERSITY_MEAN_INTER_LIST: 0.7916176, DIVERSITY_HERFINDAHL: 0.9754551, COVERAGE_ITEM: 0.3049028, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.0434222, SHANNON_ENTROPY: 6.6142072, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1373817, PRECISION: 0.0082863, PRECISION_RECALL_MIN_DEN: 0.0828628, RECALL: 0.0828628, MAP: 0.0413743, MRR: 0.0413743, NDCG: 0.0511607, F1: 0.0150660, HIT_RATE: 0.0828628, ARHR: 0.0413743, RMSE: nan, NOVELTY: 0.0072559, AVERAGE_POPULARITY: 0.2060168, DIVERSITY_MEAN_INTER_LIST: 0.9908949, DIVERSITY_HERFINDAHL: 0.9989229, COVERAGE_ITEM: 0.7388885, COVERAGE_USER: 0.9214748, DIVERSITY_GINI: 0.1926090, SHANNON_ENTROPY: 11.1182014, 
