SearchBayesianSkopt: New best config found. Config 11: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 53, 'user_shrink': 1827, 'item_topK': 22, 'item_shrink': 35} - results: ROC_AUC: 0.1262923, PRECISION: 0.0202014, PRECISION_RECALL_MIN_DEN: 0.0673380, RECALL: 0.0673380, MAP: 0.0332607, MRR: 0.0904883, NDCG: 0.0563966, F1: 0.0310791, HIT_RATE: 0.2020140, ARHR: 0.0950376, RMSE: 0.9821537, NOVELTY: 0.0060617, AVERAGE_POPULARITY: 0.3100339, DIVERSITY_MEAN_INTER_LIST: 0.9825627, DIVERSITY_HERFINDAHL: 0.9982502, COVERAGE_ITEM: 0.5298729, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1734275, SHANNON_ENTROPY: 10.6136508, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1130947, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0292998, MRR: 0.0795070, NDCG: 0.0506056, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836135, RMSE: 0.9864689, NOVELTY: 0.0063607, AVERAGE_POPULARITY: 0.1727806, DIVERSITY_MEAN_INTER_LIST: 0.9909396, DIVERSITY_HERFINDAHL: 0.9990878, COVERAGE_ITEM: 0.6629359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142731, SHANNON_ENTROPY: 11.8734261, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': False, 'user_topK': 40, 'user_shrink': 496, 'item_topK': 999, 'item_shrink': 477} - results: ROC_AUC: 0.0955287, PRECISION: 0.0149812, PRECISION_RECALL_MIN_DEN: 0.0499372, RECALL: 0.0499372, MAP: 0.0250927, MRR: 0.0697474, NDCG: 0.0425195, F1: 0.0230479, HIT_RATE: 0.1498116, ARHR: 0.0724732, RMSE: 0.9636801, NOVELTY: 0.0051969, AVERAGE_POPULARITY: 0.6675372, DIVERSITY_MEAN_INTER_LIST: 0.8003633, DIVERSITY_HERFINDAHL: 0.9800314, COVERAGE_ITEM: 0.2308732, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0580507, SHANNON_ENTROPY: 7.0769023, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1130947, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0292998, MRR: 0.0795070, NDCG: 0.0506056, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836135, RMSE: 0.9864689, NOVELTY: 0.0063607, AVERAGE_POPULARITY: 0.1727806, DIVERSITY_MEAN_INTER_LIST: 0.9909396, DIVERSITY_HERFINDAHL: 0.9990878, COVERAGE_ITEM: 0.6629359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142731, SHANNON_ENTROPY: 11.8734261, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1130038, PRECISION: 0.0186569, PRECISION_RECALL_MIN_DEN: 0.0621898, RECALL: 0.0621898, MAP: 0.0292526, MRR: 0.0793785, NDCG: 0.0505073, F1: 0.0287030, HIT_RATE: 0.1865695, ARHR: 0.0834783, RMSE: 0.9864715, NOVELTY: 0.0063740, AVERAGE_POPULARITY: 0.1707508, DIVERSITY_MEAN_INTER_LIST: 0.9892864, DIVERSITY_HERFINDAHL: 0.9989225, COVERAGE_ITEM: 0.6625034, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3091093, SHANNON_ENTROPY: 11.8027537, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1130947, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0292998, MRR: 0.0795070, NDCG: 0.0506056, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836135, RMSE: 0.9864689, NOVELTY: 0.0063607, AVERAGE_POPULARITY: 0.1727806, DIVERSITY_MEAN_INTER_LIST: 0.9909396, DIVERSITY_HERFINDAHL: 0.9990878, COVERAGE_ITEM: 0.6629359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142731, SHANNON_ENTROPY: 11.8734261, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 21, 'user_shrink': 18, 'item_topK': 21, 'item_shrink': 1847} - results: ROC_AUC: 0.0984708, PRECISION: 0.0153765, PRECISION_RECALL_MIN_DEN: 0.0512551, RECALL: 0.0512551, MAP: 0.0259012, MRR: 0.0712992, NDCG: 0.0436941, F1: 0.0236562, HIT_RATE: 0.1537654, ARHR: 0.0744522, RMSE: 0.9966637, NOVELTY: 0.0055874, AVERAGE_POPULARITY: 0.4842448, DIVERSITY_MEAN_INTER_LIST: 0.9447871, DIVERSITY_HERFINDAHL: 0.9944729, COVERAGE_ITEM: 0.4011354, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1112377, SHANNON_ENTROPY: 9.1150656, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1130947, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0292998, MRR: 0.0795070, NDCG: 0.0506056, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836135, RMSE: 0.9864689, NOVELTY: 0.0063607, AVERAGE_POPULARITY: 0.1727806, DIVERSITY_MEAN_INTER_LIST: 0.9909396, DIVERSITY_HERFINDAHL: 0.9990878, COVERAGE_ITEM: 0.6629359, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142731, SHANNON_ENTROPY: 11.8734261, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 961, 'user_shrink': 1815, 'item_topK': 39, 'item_shrink': 1907} - results: ROC_AUC: 0.0941002, PRECISION: 0.0150800, PRECISION_RECALL_MIN_DEN: 0.0502667, RECALL: 0.0502667, MAP: 0.0247655, MRR: 0.0682280, NDCG: 0.0421718, F1: 0.0232000, HIT_RATE: 0.1508000, ARHR: 0.0712197, RMSE: 0.9910083, NOVELTY: 0.0052633, AVERAGE_POPULARITY: 0.6353444, DIVERSITY_MEAN_INTER_LIST: 0.8399799, DIVERSITY_HERFINDAHL: 0.9839928, COVERAGE_ITEM: 0.1899973, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0730051, SHANNON_ENTROPY: 7.4543906, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1061020, PRECISION: 0.0166121, PRECISION_RECALL_MIN_DEN: 0.0553737, RECALL: 0.0553737, MAP: 0.0277172, MRR: 0.0763120, NDCG: 0.0469360, F1: 0.0255571, HIT_RATE: 0.1661210, ARHR: 0.0796801, RMSE: 0.9979476, NOVELTY: 0.0059581, AVERAGE_POPULARITY: 0.3495732, DIVERSITY_MEAN_INTER_LIST: 0.9774401, DIVERSITY_HERFINDAHL: 0.9977380, COVERAGE_ITEM: 0.4397405, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1626512, SHANNON_ENTROPY: 10.1979572, 
