SearchBayesianSkopt: Config 11 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': False, 'user_topK': 7, 'user_shrink': 1698, 'item_topK': 951, 'item_shrink': 1716} - results: ROC_AUC: 0.0685517, PRECISION: 0.0102922, PRECISION_RECALL_MIN_DEN: 0.0343074, RECALL: 0.0343074, MAP: 0.0175793, MRR: 0.0492444, NDCG: 0.0296785, F1: 0.0158342, HIT_RATE: 0.1029221, ARHR: 0.0509571, RMSE: 0.9763156, NOVELTY: 0.0072715, AVERAGE_POPULARITY: 0.0411229, DIVERSITY_MEAN_INTER_LIST: 0.9984081, DIVERSITY_HERFINDAHL: 0.9998346, COVERAGE_ITEM: 0.8995404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4654463, SHANNON_ENTROPY: 13.2606678, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0896295, PRECISION: 0.0142522, PRECISION_RECALL_MIN_DEN: 0.0475073, RECALL: 0.0475073, MAP: 0.0234114, MRR: 0.0640581, NDCG: 0.0398037, F1: 0.0219264, HIT_RATE: 0.1425218, ARHR: 0.0670813, RMSE: 1.1706505, NOVELTY: 0.0062963, AVERAGE_POPULARITY: 0.2474432, DIVERSITY_MEAN_INTER_LIST: 0.9887993, DIVERSITY_HERFINDAHL: 0.9988738, COVERAGE_ITEM: 0.5076507, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2074284, SHANNON_ENTROPY: 11.0129324, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': False, 'user_topK': 983, 'user_shrink': 40, 'item_topK': 922, 'item_shrink': 1439} - results: ROC_AUC: 0.0297775, PRECISION: 0.0043986, PRECISION_RECALL_MIN_DEN: 0.0146620, RECALL: 0.0146620, MAP: 0.0077031, MRR: 0.0216582, NDCG: 0.0128975, F1: 0.0067671, HIT_RATE: 0.0439859, ARHR: 0.0223761, RMSE: 1.1720793, NOVELTY: 0.0073268, AVERAGE_POPULARITY: 0.0446381, DIVERSITY_MEAN_INTER_LIST: 0.9260897, DIVERSITY_HERFINDAHL: 0.9926033, COVERAGE_ITEM: 0.3485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1118585, SHANNON_ENTROPY: 8.9999932, 
SearchBayesianSkopt: New best config found. Config 14: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1078026, PRECISION: 0.0176191, PRECISION_RECALL_MIN_DEN: 0.0587303, RECALL: 0.0587303, MAP: 0.0280095, MRR: 0.0761568, NDCG: 0.0481292, F1: 0.0271063, HIT_RATE: 0.1761908, ARHR: 0.0800057, RMSE: 0.9806303, NOVELTY: 0.0058429, AVERAGE_POPULARITY: 0.1767481, DIVERSITY_MEAN_INTER_LIST: 0.9647865, DIVERSITY_HERFINDAHL: 0.9964727, COVERAGE_ITEM: 0.5152203, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2145943, SHANNON_ENTROPY: 10.6332499, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1001289, PRECISION: 0.0156669, PRECISION_RECALL_MIN_DEN: 0.0522230, RECALL: 0.0522230, MAP: 0.0262377, MRR: 0.0724025, NDCG: 0.0443917, F1: 0.0241029, HIT_RATE: 0.1566689, ARHR: 0.0755180, RMSE: 8.4920642, NOVELTY: 0.0059743, AVERAGE_POPULARITY: 0.3546760, DIVERSITY_MEAN_INTER_LIST: 0.9763254, DIVERSITY_HERFINDAHL: 0.9976265, COVERAGE_ITEM: 0.5676129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1616327, SHANNON_ENTROPY: 10.3471252, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': True, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1026629, PRECISION: 0.0168654, PRECISION_RECALL_MIN_DEN: 0.0562180, RECALL: 0.0562180, MAP: 0.0264745, MRR: 0.0719931, NDCG: 0.0457264, F1: 0.0259467, HIT_RATE: 0.1686539, ARHR: 0.0756314, RMSE: 0.9824542, NOVELTY: 0.0057650, AVERAGE_POPULARITY: 0.1667908, DIVERSITY_MEAN_INTER_LIST: 0.9771499, DIVERSITY_HERFINDAHL: 0.9977090, COVERAGE_ITEM: 0.5138686, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2475410, SHANNON_ENTROPY: 11.0135492, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': False, 'user_topK': 167, 'user_shrink': 1964, 'item_topK': 23, 'item_shrink': 1725} - results: ROC_AUC: 0.1026092, PRECISION: 0.0161982, PRECISION_RECALL_MIN_DEN: 0.0539939, RECALL: 0.0539939, MAP: 0.0269970, MRR: 0.0742771, NDCG: 0.0457060, F1: 0.0249203, HIT_RATE: 0.1619818, ARHR: 0.0775780, RMSE: 0.9629619, NOVELTY: 0.0056536, AVERAGE_POPULARITY: 0.4764378, DIVERSITY_MEAN_INTER_LIST: 0.9453101, DIVERSITY_HERFINDAHL: 0.9945252, COVERAGE_ITEM: 0.4846175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1230375, SHANNON_ENTROPY: 9.3430848, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': False, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1001289, PRECISION: 0.0156669, PRECISION_RECALL_MIN_DEN: 0.0522230, RECALL: 0.0522230, MAP: 0.0262377, MRR: 0.0724025, NDCG: 0.0443917, F1: 0.0241029, HIT_RATE: 0.1566689, ARHR: 0.0755180, RMSE: 8.4920642, NOVELTY: 0.0059743, AVERAGE_POPULARITY: 0.3546760, DIVERSITY_MEAN_INTER_LIST: 0.9763254, DIVERSITY_HERFINDAHL: 0.9976265, COVERAGE_ITEM: 0.5676129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1616327, SHANNON_ENTROPY: 10.3471252, 
SearchBayesianSkopt: New best config found. Config 19: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': True, 'item_normalize': True, 'user_topK': 818, 'user_shrink': 1962, 'item_topK': 17, 'item_shrink': 1557} - results: ROC_AUC: 0.1254296, PRECISION: 0.0200346, PRECISION_RECALL_MIN_DEN: 0.0667820, RECALL: 0.0667820, MAP: 0.0329542, MRR: 0.0896166, NDCG: 0.0559084, F1: 0.0308225, HIT_RATE: 0.2003460, ARHR: 0.0941552, RMSE: 0.9670619, NOVELTY: 0.0059941, AVERAGE_POPULARITY: 0.3253379, DIVERSITY_MEAN_INTER_LIST: 0.9801032, DIVERSITY_HERFINDAHL: 0.9980043, COVERAGE_ITEM: 0.5039740, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1558093, SHANNON_ENTROPY: 10.3781596, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'cosine', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.0866025, PRECISION: 0.0143325, PRECISION_RECALL_MIN_DEN: 0.0477750, RECALL: 0.0477750, MAP: 0.0221369, MRR: 0.0606815, NDCG: 0.0385504, F1: 0.0220500, HIT_RATE: 0.1433249, ARHR: 0.0634849, RMSE: 0.9968022, NOVELTY: 0.0067938, AVERAGE_POPULARITY: 0.0701371, DIVERSITY_MEAN_INTER_LIST: 0.9793483, DIVERSITY_HERFINDAHL: 0.9979288, COVERAGE_ITEM: 0.7273317, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3827237, SHANNON_ENTROPY: 12.1206213, 
