SearchBayesianSkopt: New best config found. Config 11: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 7, 'user_shrink': 1904, 'item_topK': 171, 'item_shrink': 370} - results: ROC_AUC: 0.1177279, PRECISION: 0.0184037, PRECISION_RECALL_MIN_DEN: 0.0613455, RECALL: 0.0613455, MAP: 0.0313706, MRR: 0.0856452, NDCG: 0.0525716, F1: 0.0283133, HIT_RATE: 0.1840366, ARHR: 0.0898033, RMSE: 0.9460615, NOVELTY: 0.0060098, AVERAGE_POPULARITY: 0.3136126, DIVERSITY_MEAN_INTER_LIST: 0.9766280, DIVERSITY_HERFINDAHL: 0.9976568, COVERAGE_ITEM: 0.8569343, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2519072, SHANNON_ENTROPY: 11.1903027, 
SearchBayesianSkopt: New best config found. Config 12: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1270733, PRECISION: 0.0204238, PRECISION_RECALL_MIN_DEN: 0.0680793, RECALL: 0.0680793, MAP: 0.0336033, MRR: 0.0911269, NDCG: 0.0569434, F1: 0.0314212, HIT_RATE: 0.2042380, ARHR: 0.0958534, RMSE: 0.9839341, NOVELTY: 0.0062214, AVERAGE_POPULARITY: 0.2563000, DIVERSITY_MEAN_INTER_LIST: 0.9876637, DIVERSITY_HERFINDAHL: 0.9987603, COVERAGE_ITEM: 0.4887267, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1871126, SHANNON_ENTROPY: 10.8230328, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'BM25', 'user_normalize': False, 'item_normalize': False, 'user_topK': 75, 'user_shrink': 1924, 'item_topK': 24, 'item_shrink': 191} - results: ROC_AUC: 0.0726240, PRECISION: 0.0112683, PRECISION_RECALL_MIN_DEN: 0.0375610, RECALL: 0.0375610, MAP: 0.0188098, MRR: 0.0522700, NDCG: 0.0319327, F1: 0.0173358, HIT_RATE: 0.1126830, ARHR: 0.0543013, RMSE: 0.9613900, NOVELTY: 0.0065648, AVERAGE_POPULARITY: 0.0400226, DIVERSITY_MEAN_INTER_LIST: 0.9985953, DIVERSITY_HERFINDAHL: 0.9998534, COVERAGE_ITEM: 0.8813733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5209758, SHANNON_ENTROPY: 13.3832229, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1018459, PRECISION: 0.0160993, PRECISION_RECALL_MIN_DEN: 0.0536645, RECALL: 0.0536645, MAP: 0.0264323, MRR: 0.0729082, NDCG: 0.0450542, F1: 0.0247682, HIT_RATE: 0.1609934, ARHR: 0.0760584, RMSE: 0.9969322, NOVELTY: 0.0057533, AVERAGE_POPULARITY: 0.4067165, DIVERSITY_MEAN_INTER_LIST: 0.9675982, DIVERSITY_HERFINDAHL: 0.9967538, COVERAGE_ITEM: 0.3500406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1263297, SHANNON_ENTROPY: 9.5486133, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1032475, PRECISION: 0.0162167, PRECISION_RECALL_MIN_DEN: 0.0540557, RECALL: 0.0540557, MAP: 0.0269879, MRR: 0.0743277, NDCG: 0.0457510, F1: 0.0249488, HIT_RATE: 0.1621672, ARHR: 0.0776021, RMSE: 0.9977443, NOVELTY: 0.0059643, AVERAGE_POPULARITY: 0.3523833, DIVERSITY_MEAN_INTER_LIST: 0.9766924, DIVERSITY_HERFINDAHL: 0.9976632, COVERAGE_ITEM: 0.4420654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643918, SHANNON_ENTROPY: 10.1951692, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1032475, PRECISION: 0.0162167, PRECISION_RECALL_MIN_DEN: 0.0540557, RECALL: 0.0540557, MAP: 0.0269879, MRR: 0.0743277, NDCG: 0.0457510, F1: 0.0249488, HIT_RATE: 0.1621672, ARHR: 0.0776021, RMSE: 0.9977443, NOVELTY: 0.0059643, AVERAGE_POPULARITY: 0.3523833, DIVERSITY_MEAN_INTER_LIST: 0.9766924, DIVERSITY_HERFINDAHL: 0.9976632, COVERAGE_ITEM: 0.4420654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643918, SHANNON_ENTROPY: 10.1951692, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 21, 'user_shrink': 337, 'item_topK': 924, 'item_shrink': 73} - results: ROC_AUC: 0.0995322, PRECISION: 0.0156545, PRECISION_RECALL_MIN_DEN: 0.0521818, RECALL: 0.0521818, MAP: 0.0266395, MRR: 0.0729631, NDCG: 0.0446865, F1: 0.0240839, HIT_RATE: 0.1565454, ARHR: 0.0763917, RMSE: 0.8776344, NOVELTY: 0.0051412, AVERAGE_POPULARITY: 0.3076053, DIVERSITY_MEAN_INTER_LIST: 0.9642479, DIVERSITY_HERFINDAHL: 0.9964188, COVERAGE_ITEM: 0.8553122, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3073821, SHANNON_ENTROPY: 11.3576792, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1018459, PRECISION: 0.0160993, PRECISION_RECALL_MIN_DEN: 0.0536645, RECALL: 0.0536645, MAP: 0.0264323, MRR: 0.0729082, NDCG: 0.0450542, F1: 0.0247682, HIT_RATE: 0.1609934, ARHR: 0.0760584, RMSE: 0.9969322, NOVELTY: 0.0057533, AVERAGE_POPULARITY: 0.4067165, DIVERSITY_MEAN_INTER_LIST: 0.9675982, DIVERSITY_HERFINDAHL: 0.9967538, COVERAGE_ITEM: 0.3500406, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1263297, SHANNON_ENTROPY: 9.5486133, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 989, 'user_shrink': 1916, 'item_topK': 50, 'item_shrink': 1169} - results: ROC_AUC: 0.1218876, PRECISION: 0.0195898, PRECISION_RECALL_MIN_DEN: 0.0652993, RECALL: 0.0652993, MAP: 0.0322369, MRR: 0.0878165, NDCG: 0.0546788, F1: 0.0301381, HIT_RATE: 0.1958979, ARHR: 0.0921652, RMSE: 0.9457137, NOVELTY: 0.0057846, AVERAGE_POPULARITY: 0.4116492, DIVERSITY_MEAN_INTER_LIST: 0.9605735, DIVERSITY_HERFINDAHL: 0.9960514, COVERAGE_ITEM: 0.4944580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1299238, SHANNON_ENTROPY: 9.7190305, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1081724, PRECISION: 0.0177303, PRECISION_RECALL_MIN_DEN: 0.0591009, RECALL: 0.0591009, MAP: 0.0281069, MRR: 0.0764196, NDCG: 0.0483465, F1: 0.0272773, HIT_RATE: 0.1773028, ARHR: 0.0802831, RMSE: 0.9806194, NOVELTY: 0.0057748, AVERAGE_POPULARITY: 0.1840479, DIVERSITY_MEAN_INTER_LIST: 0.9782684, DIVERSITY_HERFINDAHL: 0.9978208, COVERAGE_ITEM: 0.5177075, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2301608, SHANNON_ENTROPY: 10.9308515, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'TF-IDF', 'user_normalize': False, 'item_normalize': True, 'user_topK': 875, 'user_shrink': 57, 'item_topK': 16, 'item_shrink': 1981} - results: ROC_AUC: 0.0949709, PRECISION: 0.0152530, PRECISION_RECALL_MIN_DEN: 0.0508433, RECALL: 0.0508433, MAP: 0.0248199, MRR: 0.0682300, NDCG: 0.0423966, F1: 0.0234661, HIT_RATE: 0.1525298, ARHR: 0.0712950, RMSE: 0.8743884, NOVELTY: 0.0053370, AVERAGE_POPULARITY: 0.5803528, DIVERSITY_MEAN_INTER_LIST: 0.8400793, DIVERSITY_HERFINDAHL: 0.9840027, COVERAGE_ITEM: 0.1689105, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0684420, SHANNON_ENTROPY: 7.3970838, 
SearchBayesianSkopt: Config 22 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'cosine', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 2000} - results: ROC_AUC: 0.1032475, PRECISION: 0.0162167, PRECISION_RECALL_MIN_DEN: 0.0540557, RECALL: 0.0540557, MAP: 0.0269879, MRR: 0.0743277, NDCG: 0.0457510, F1: 0.0249488, HIT_RATE: 0.1621672, ARHR: 0.0776021, RMSE: 0.9977443, NOVELTY: 0.0059643, AVERAGE_POPULARITY: 0.3523833, DIVERSITY_MEAN_INTER_LIST: 0.9766924, DIVERSITY_HERFINDAHL: 0.9976632, COVERAGE_ITEM: 0.4420654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1643918, SHANNON_ENTROPY: 10.1951692, 
