SearchBayesianSkopt: New best config found. Config 11: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 23, 'user_shrink': 238, 'item_topK': 6, 'item_shrink': 258} - results: ROC_AUC: 0.1179747, PRECISION: 0.0186075, PRECISION_RECALL_MIN_DEN: 0.0620251, RECALL: 0.0620251, MAP: 0.0311647, MRR: 0.0850973, NDCG: 0.0525695, F1: 0.0286270, HIT_RATE: 0.1860752, ARHR: 0.0892205, RMSE: 0.9917389, NOVELTY: 0.0059365, AVERAGE_POPULARITY: 0.3339312, DIVERSITY_MEAN_INTER_LIST: 0.9808847, DIVERSITY_HERFINDAHL: 0.9980824, COVERAGE_ITEM: 0.4077318, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1581738, SHANNON_ENTROPY: 10.2424098, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1116165, PRECISION: 0.0185334, PRECISION_RECALL_MIN_DEN: 0.0617780, RECALL: 0.0617780, MAP: 0.0289595, MRR: 0.0786471, NDCG: 0.0500678, F1: 0.0285129, HIT_RATE: 0.1853339, ARHR: 0.0826756, RMSE: 0.9840578, NOVELTY: 0.0063046, AVERAGE_POPULARITY: 0.1868668, DIVERSITY_MEAN_INTER_LIST: 0.9919805, DIVERSITY_HERFINDAHL: 0.9991919, COVERAGE_ITEM: 0.6621790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3192245, SHANNON_ENTROPY: 11.8959378, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 11, 'user_shrink': 1613, 'item_topK': 39, 'item_shrink': 1822} - results: ROC_AUC: 0.1028430, PRECISION: 0.0163279, PRECISION_RECALL_MIN_DEN: 0.0544264, RECALL: 0.0544264, MAP: 0.0271138, MRR: 0.0743627, NDCG: 0.0459292, F1: 0.0251199, HIT_RATE: 0.1632792, ARHR: 0.0777883, RMSE: 0.9948348, NOVELTY: 0.0055735, AVERAGE_POPULARITY: 0.4879195, DIVERSITY_MEAN_INTER_LIST: 0.9423150, DIVERSITY_HERFINDAHL: 0.9942257, COVERAGE_ITEM: 0.4415247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1120667, SHANNON_ENTROPY: 9.1483479, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1131153, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0293074, MRR: 0.0795296, NDCG: 0.0506140, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836361, RMSE: 0.9864709, NOVELTY: 0.0063604, AVERAGE_POPULARITY: 0.1727605, DIVERSITY_MEAN_INTER_LIST: 0.9909416, DIVERSITY_HERFINDAHL: 0.9990880, COVERAGE_ITEM: 0.6627197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3144042, SHANNON_ENTROPY: 11.8735738, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1131153, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0293074, MRR: 0.0795296, NDCG: 0.0506140, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836361, RMSE: 0.9864709, NOVELTY: 0.0063604, AVERAGE_POPULARITY: 0.1727605, DIVERSITY_MEAN_INTER_LIST: 0.9909416, DIVERSITY_HERFINDAHL: 0.9990880, COVERAGE_ITEM: 0.6627197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3144042, SHANNON_ENTROPY: 11.8735738, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 0, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1116165, PRECISION: 0.0185334, PRECISION_RECALL_MIN_DEN: 0.0617780, RECALL: 0.0617780, MAP: 0.0289595, MRR: 0.0786471, NDCG: 0.0500678, F1: 0.0285129, HIT_RATE: 0.1853339, ARHR: 0.0826756, RMSE: 0.9840578, NOVELTY: 0.0063046, AVERAGE_POPULARITY: 0.1868668, DIVERSITY_MEAN_INTER_LIST: 0.9919805, DIVERSITY_HERFINDAHL: 0.9991919, COVERAGE_ITEM: 0.6621790, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3192245, SHANNON_ENTROPY: 11.8959378, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': True, 'item_normalize': True, 'user_topK': 14, 'user_shrink': 111, 'item_topK': 991, 'item_shrink': 768} - results: ROC_AUC: 0.0890510, PRECISION: 0.0141595, PRECISION_RECALL_MIN_DEN: 0.0471984, RECALL: 0.0471984, MAP: 0.0231401, MRR: 0.0643856, NDCG: 0.0395887, F1: 0.0217839, HIT_RATE: 0.1415951, ARHR: 0.0668624, RMSE: 0.9680672, NOVELTY: 0.0051294, AVERAGE_POPULARITY: 0.7072121, DIVERSITY_MEAN_INTER_LIST: 0.7480763, DIVERSITY_HERFINDAHL: 0.9748030, COVERAGE_ITEM: 0.2117870, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0490658, SHANNON_ENTROPY: 6.6221857, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1131153, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0293074, MRR: 0.0795296, NDCG: 0.0506140, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836361, RMSE: 0.9864709, NOVELTY: 0.0063604, AVERAGE_POPULARITY: 0.1727605, DIVERSITY_MEAN_INTER_LIST: 0.9909416, DIVERSITY_HERFINDAHL: 0.9990880, COVERAGE_ITEM: 0.6627197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3144042, SHANNON_ENTROPY: 11.8735738, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 15, 'user_shrink': 452, 'item_topK': 991, 'item_shrink': 1947} - results: ROC_AUC: 0.0859743, PRECISION: 0.0139186, PRECISION_RECALL_MIN_DEN: 0.0463953, RECALL: 0.0463953, MAP: 0.0223868, MRR: 0.0623962, NDCG: 0.0385278, F1: 0.0214132, HIT_RATE: 0.1391858, ARHR: 0.0647390, RMSE: 0.9861712, NOVELTY: 0.0051036, AVERAGE_POPULARITY: 0.7251361, DIVERSITY_MEAN_INTER_LIST: 0.7289757, DIVERSITY_HERFINDAHL: 0.9728931, COVERAGE_ITEM: 0.2105434, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0464201, SHANNON_ENTROPY: 6.4570457, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'user_similarity_type': 'jaccard', 'item_similarity_type': 'jaccard', 'user_feature_weighting': 'none', 'item_feature_weighting': 'none', 'user_normalize': False, 'item_normalize': True, 'user_topK': 5, 'user_shrink': 2000, 'item_topK': 5, 'item_shrink': 0} - results: ROC_AUC: 0.1131153, PRECISION: 0.0187064, PRECISION_RECALL_MIN_DEN: 0.0623546, RECALL: 0.0623546, MAP: 0.0293074, MRR: 0.0795296, NDCG: 0.0506140, F1: 0.0287790, HIT_RATE: 0.1870637, ARHR: 0.0836361, RMSE: 0.9864709, NOVELTY: 0.0063604, AVERAGE_POPULARITY: 0.1727605, DIVERSITY_MEAN_INTER_LIST: 0.9909416, DIVERSITY_HERFINDAHL: 0.9990880, COVERAGE_ITEM: 0.6627197, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3144042, SHANNON_ENTROPY: 11.8735738, 
