CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 870, 'shrink': 773, 'normalize': True, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007367±0.0010, PRECISION: 0.001242±0.0002, PRECISION_RECALL_MIN_DEN: 0.012421±0.0020, RECALL: 0.012421±0.0020, MAP: 0.004661±0.0007, MRR: 0.004661±0.0007, NDCG: 0.006457±0.0010, F1: 0.002258±0.0004, HIT_RATE: 0.012421±0.0020, ARHR: 0.004661±0.0007, RMSE: 0.977261±0.0002, NOVELTY: 0.006583±0.0000, AVERAGE_POPULARITY: 0.047241±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996442±0.0000, DIVERSITY_HERFINDAHL: 0.999622±0.0000, COVERAGE_ITEM: 0.508819±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.427400±0.0012, SHANNON_ENTROPY: 12.254484±0.0054, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 425, 'shrink': 616, 'normalize': True, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007693±0.0011, PRECISION: 0.001265±0.0002, PRECISION_RECALL_MIN_DEN: 0.012647±0.0019, RECALL: 0.012647±0.0019, MAP: 0.004744±0.0008, MRR: 0.004744±0.0008, NDCG: 0.006584±0.0011, F1: 0.002299±0.0004, HIT_RATE: 0.012647±0.0019, ARHR: 0.004744±0.0008, RMSE: 0.976448±0.0003, NOVELTY: 0.006283±0.0000, AVERAGE_POPULARITY: 0.046101±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997017±0.0000, DIVERSITY_HERFINDAHL: 0.999679±0.0000, COVERAGE_ITEM: 0.565547±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.460932±0.0003, SHANNON_ENTROPY: 12.513615±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 13: {'topK': 97, 'shrink': 1981, 'normalize': True, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.010619±0.0012, PRECISION: 0.001658±0.0001, PRECISION_RECALL_MIN_DEN: 0.016576±0.0013, RECALL: 0.016576±0.0013, MAP: 0.006845±0.0009, MRR: 0.006845±0.0009, NDCG: 0.009118±0.0010, F1: 0.003014±0.0002, HIT_RATE: 0.016576±0.0013, ARHR: 0.006845±0.0009, RMSE: 0.999132±0.0000, NOVELTY: 0.005372±0.0000, AVERAGE_POPULARITY: 0.065077±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.991675±0.0000, DIVERSITY_HERFINDAHL: 0.999145±0.0000, COVERAGE_ITEM: 0.481200±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375974±0.0011, SHANNON_ENTROPY: 11.780842±0.0076, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 839, 'shrink': 1210, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.007448±0.0011, PRECISION: 0.001256±0.0002, PRECISION_RECALL_MIN_DEN: 0.012556±0.0022, RECALL: 0.012556±0.0022, MAP: 0.004698±0.0008, MRR: 0.004698±0.0008, NDCG: 0.006518±0.0011, F1: 0.002283±0.0004, HIT_RATE: 0.012556±0.0022, ARHR: 0.004698±0.0008, RMSE: 0.973979±0.0003, NOVELTY: 0.006568±0.0000, AVERAGE_POPULARITY: 0.047263±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996484±0.0000, DIVERSITY_HERFINDAHL: 0.999626±0.0000, COVERAGE_ITEM: 0.510365±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.429109±0.0011, SHANNON_ENTROPY: 12.265693±0.0057, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 796, 'shrink': 247, 'normalize': True, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007523±0.0011, PRECISION: 0.001242±0.0002, PRECISION_RECALL_MIN_DEN: 0.012421±0.0021, RECALL: 0.012421±0.0021, MAP: 0.004892±0.0008, MRR: 0.004892±0.0008, NDCG: 0.006634±0.0011, F1: 0.002258±0.0004, HIT_RATE: 0.012421±0.0021, ARHR: 0.004892±0.0008, RMSE: 0.931359±0.0006, NOVELTY: 0.006533±0.0000, AVERAGE_POPULARITY: 0.047232±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996557±0.0000, DIVERSITY_HERFINDAHL: 0.999633±0.0000, COVERAGE_ITEM: 0.513371±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.431820±0.0010, SHANNON_ENTROPY: 12.285358±0.0038, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 122, 'shrink': 204, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.008918±0.0012, PRECISION: 0.001378±0.0001, PRECISION_RECALL_MIN_DEN: 0.013776±0.0014, RECALL: 0.013776±0.0014, MAP: 0.005790±0.0008, MRR: 0.005790±0.0008, NDCG: 0.007659±0.0009, F1: 0.002505±0.0002, HIT_RATE: 0.013776±0.0014, ARHR: 0.005790±0.0008, RMSE: 0.945991±0.0015, NOVELTY: 0.006275±0.0000, AVERAGE_POPULARITY: 0.043969±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996496±0.0000, DIVERSITY_HERFINDAHL: 0.999627±0.0000, COVERAGE_ITEM: 0.613506±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.472390±0.0010, SHANNON_ENTROPY: 12.596448±0.0048, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 759, 'shrink': 742, 'normalize': False, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.008376±0.0012, PRECISION: 0.001369±0.0002, PRECISION_RECALL_MIN_DEN: 0.013686±0.0018, RECALL: 0.013686±0.0018, MAP: 0.005476±0.0010, MRR: 0.005476±0.0010, NDCG: 0.007379±0.0011, F1: 0.002488±0.0003, HIT_RATE: 0.013686±0.0018, ARHR: 0.005476±0.0010, RMSE: 0.992669±0.0001, NOVELTY: 0.006091±0.0000, AVERAGE_POPULARITY: 0.063786±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.994269±0.0000, DIVERSITY_HERFINDAHL: 0.999404±0.0000, COVERAGE_ITEM: 0.417215±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.372267±0.0008, SHANNON_ENTROPY: 11.734334±0.0034, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 569, 'shrink': 555, 'normalize': True, 'interactions_feature_weighting': 'none'} - results: ROC_AUC: 0.008220±0.0013, PRECISION: 0.001292±0.0002, PRECISION_RECALL_MIN_DEN: 0.012918±0.0016, RECALL: 0.012918±0.0016, MAP: 0.005375±0.0009, MRR: 0.005375±0.0009, NDCG: 0.007131±0.0010, F1: 0.002349±0.0003, HIT_RATE: 0.012918±0.0016, ARHR: 0.005375±0.0009, RMSE: 0.990940±0.0001, NOVELTY: 0.005759±0.0000, AVERAGE_POPULARITY: 0.062385±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.994467±0.0000, DIVERSITY_HERFINDAHL: 0.999424±0.0000, COVERAGE_ITEM: 0.439805±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.383378±0.0005, SHANNON_ENTROPY: 11.840573±0.0035, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 722, 'shrink': 1140, 'normalize': False, 'interactions_feature_weighting': 'BM25'} - results: ROC_AUC: 0.007533±0.0011, PRECISION: 0.001265±0.0002, PRECISION_RECALL_MIN_DEN: 0.012647±0.0019, RECALL: 0.012647±0.0019, MAP: 0.004777±0.0007, MRR: 0.004777±0.0007, NDCG: 0.006599±0.0010, F1: 0.002299±0.0003, HIT_RATE: 0.012647±0.0019, ARHR: 0.004777±0.0007, RMSE: 0.984850±0.0001, NOVELTY: 0.006525±0.0000, AVERAGE_POPULARITY: 0.047218±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.996662±0.0000, DIVERSITY_HERFINDAHL: 0.999644±0.0000, COVERAGE_ITEM: 0.519524±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.435196±0.0010, SHANNON_ENTROPY: 12.316599±0.0051, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 314, 'shrink': 1474, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.008155±0.0011, PRECISION: 0.001247±0.0002, PRECISION_RECALL_MIN_DEN: 0.012466±0.0019, RECALL: 0.012466±0.0019, MAP: 0.005372±0.0005, MRR: 0.005372±0.0005, NDCG: 0.007030±0.0008, F1: 0.002267±0.0004, HIT_RATE: 0.012466±0.0019, ARHR: 0.005372±0.0005, RMSE: 0.984655±0.0003, NOVELTY: 0.006341±0.0000, AVERAGE_POPULARITY: 0.045915±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.996878±0.0000, DIVERSITY_HERFINDAHL: 0.999665±0.0000, COVERAGE_ITEM: 0.588116±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.469473±0.0006, SHANNON_ENTROPY: 12.570341±0.0035, 
