SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 60, 'regularization': 0.010229165012980391, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.10806136369933658} - results: ROC_AUC: 0.0760113, PRECISION: 0.0121703, PRECISION_RECALL_MIN_DEN: 0.0405675, RECALL: 0.0405675, MAP: 0.0195961, MRR: 0.0545806, NDCG: 0.0337237, F1: 0.0187235, HIT_RATE: 0.1217026, ARHR: 0.0566526, RMSE: 0.9868743, NOVELTY: 0.0052933, AVERAGE_POPULARITY: 0.5449884, DIVERSITY_MEAN_INTER_LIST: 0.9246190, DIVERSITY_HERFINDAHL: 0.9924562, COVERAGE_ITEM: 0.0204380, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3270564, SHANNON_ENTROPY: 7.3623627, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.10594836880431224, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 100.0} - results: ROC_AUC: 0.0771037, PRECISION: 0.0118984, PRECISION_RECALL_MIN_DEN: 0.0396615, RECALL: 0.0396615, MAP: 0.0199359, MRR: 0.0555926, NDCG: 0.0338255, F1: 0.0183053, HIT_RATE: 0.1189844, ARHR: 0.0576597, RMSE: 0.9578274, NOVELTY: 0.0063907, AVERAGE_POPULARITY: 0.2058058, DIVERSITY_MEAN_INTER_LIST: 0.9946051, DIVERSITY_HERFINDAHL: 0.9994544, COVERAGE_ITEM: 0.4639092, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2745230, SHANNON_ENTROPY: 11.5668001, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 467, 'regularization': 99.48633184290051, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 80.21532520490258} - results: ROC_AUC: 0.0983301, PRECISION: 0.0158213, PRECISION_RECALL_MIN_DEN: 0.0527378, RECALL: 0.0527378, MAP: 0.0259949, MRR: 0.0712737, NDCG: 0.0441943, F1: 0.0243405, HIT_RATE: 0.1582134, ARHR: 0.0745717, RMSE: 0.9298308, NOVELTY: 0.0058776, AVERAGE_POPULARITY: 0.3279563, DIVERSITY_MEAN_INTER_LIST: 0.9857657, DIVERSITY_HERFINDAHL: 0.9985705, COVERAGE_ITEM: 0.2287645, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2270689, SHANNON_ENTROPY: 10.2575972, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 492, 'regularization': 72.46551983401774, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.12912990406606692} - results: ROC_AUC: 0.0301706, PRECISION: 0.0063940, PRECISION_RECALL_MIN_DEN: 0.0213134, RECALL: 0.0213134, MAP: 0.0065436, MRR: 0.0189621, NDCG: 0.0138099, F1: 0.0098370, HIT_RATE: 0.0639402, ARHR: 0.0192888, RMSE: 0.9995664, NOVELTY: 0.0048932, AVERAGE_POPULARITY: 0.8666971, DIVERSITY_MEAN_INTER_LIST: 0.0581070, DIVERSITY_HERFINDAHL: 0.9058103, COVERAGE_ITEM: 0.0025412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2375376, SHANNON_ENTROPY: 3.4748221, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.1670940066420408} - results: ROC_AUC: 0.0937861, PRECISION: 0.0138939, PRECISION_RECALL_MIN_DEN: 0.0463129, RECALL: 0.0463129, MAP: 0.0249490, MRR: 0.0689416, NDCG: 0.0411798, F1: 0.0213752, HIT_RATE: 0.1389387, ARHR: 0.0718385, RMSE: 0.9790851, NOVELTY: 0.0060497, AVERAGE_POPULARITY: 0.2332526, DIVERSITY_MEAN_INTER_LIST: 0.9908523, DIVERSITY_HERFINDAHL: 0.9990791, COVERAGE_ITEM: 0.1384699, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3935277, SHANNON_ENTROPY: 10.3946990, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 2.2929961010178945} - results: ROC_AUC: 0.0936705, PRECISION: 0.0139371, PRECISION_RECALL_MIN_DEN: 0.0464570, RECALL: 0.0464570, MAP: 0.0248823, MRR: 0.0687190, NDCG: 0.0411478, F1: 0.0214417, HIT_RATE: 0.1393711, ARHR: 0.0716301, RMSE: 0.9785114, NOVELTY: 0.0060482, AVERAGE_POPULARITY: 0.2344027, DIVERSITY_MEAN_INTER_LIST: 0.9908815, DIVERSITY_HERFINDAHL: 0.9990820, COVERAGE_ITEM: 0.1395512, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3922834, SHANNON_ENTROPY: 10.4021296, 
SearchBayesianSkopt: New best config found. Config 17: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 13.479885250184514} - results: ROC_AUC: 0.1134065, PRECISION: 0.0184716, PRECISION_RECALL_MIN_DEN: 0.0615720, RECALL: 0.0615720, MAP: 0.0294398, MRR: 0.0804577, NDCG: 0.0505978, F1: 0.0284179, HIT_RATE: 0.1847161, ARHR: 0.0842950, RMSE: 0.9485145, NOVELTY: 0.0055295, AVERAGE_POPULARITY: 0.4491812, DIVERSITY_MEAN_INTER_LIST: 0.9667826, DIVERSITY_HERFINDAHL: 0.9966723, COVERAGE_ITEM: 0.0831576, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2333318, SHANNON_ENTROPY: 8.8894224, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'num_factors': 481, 'regularization': 98.7355171917279, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 6.822751705354875} - results: ROC_AUC: 0.0945725, PRECISION: 0.0159449, PRECISION_RECALL_MIN_DEN: 0.0531496, RECALL: 0.0531496, MAP: 0.0240417, MRR: 0.0666343, NDCG: 0.0423783, F1: 0.0245306, HIT_RATE: 0.1594489, ARHR: 0.0693250, RMSE: 0.9624555, NOVELTY: 0.0052429, AVERAGE_POPULARITY: 0.5936328, DIVERSITY_MEAN_INTER_LIST: 0.9192834, DIVERSITY_HERFINDAHL: 0.9919227, COVERAGE_ITEM: 0.0268181, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2558390, SHANNON_ENTROPY: 7.4172335, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'num_factors': 500, 'regularization': 0.01, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 3.2000916168116618} - results: ROC_AUC: 0.0942711, PRECISION: 0.0141039, PRECISION_RECALL_MIN_DEN: 0.0470130, RECALL: 0.0470130, MAP: 0.0249957, MRR: 0.0688567, NDCG: 0.0414194, F1: 0.0216983, HIT_RATE: 0.1410391, ARHR: 0.0718708, RMSE: 0.9757351, NOVELTY: 0.0060382, AVERAGE_POPULARITY: 0.2428408, DIVERSITY_MEAN_INTER_LIST: 0.9909973, DIVERSITY_HERFINDAHL: 0.9990936, COVERAGE_ITEM: 0.1513923, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3719431, SHANNON_ENTROPY: 10.4516289, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'num_factors': 481, 'regularization': 82.43245398569316, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 87.83971441949961} - results: ROC_AUC: 0.0962026, PRECISION: 0.0154877, PRECISION_RECALL_MIN_DEN: 0.0516258, RECALL: 0.0516258, MAP: 0.0254621, MRR: 0.0698958, NDCG: 0.0432836, F1: 0.0238273, HIT_RATE: 0.1548774, ARHR: 0.0730702, RMSE: 0.9339779, NOVELTY: 0.0059388, AVERAGE_POPULARITY: 0.3107507, DIVERSITY_MEAN_INTER_LIST: 0.9874879, DIVERSITY_HERFINDAHL: 0.9987427, COVERAGE_ITEM: 0.2621249, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2273510, SHANNON_ENTROPY: 10.4510392, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'num_factors': 74, 'regularization': 95.87501572155405, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 90.53877938248121} - results: ROC_AUC: 0.0697149, PRECISION: 0.0118490, PRECISION_RECALL_MIN_DEN: 0.0394967, RECALL: 0.0394967, MAP: 0.0163489, MRR: 0.0460033, NDCG: 0.0300509, F1: 0.0182293, HIT_RATE: 0.1184901, ARHR: 0.0474910, RMSE: 0.8678869, NOVELTY: 0.0055897, AVERAGE_POPULARITY: 0.4226687, DIVERSITY_MEAN_INTER_LIST: 0.9730964, DIVERSITY_HERFINDAHL: 0.9973036, COVERAGE_ITEM: 0.1121384, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2254867, SHANNON_ENTROPY: 9.2532274, 
SearchBayesianSkopt: New best config found. Config 22: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 16.643474871749536} - results: ROC_AUC: 0.1138494, PRECISION: 0.0185272, PRECISION_RECALL_MIN_DEN: 0.0617574, RECALL: 0.0617574, MAP: 0.0296057, MRR: 0.0805933, NDCG: 0.0507839, F1: 0.0285034, HIT_RATE: 0.1852721, ARHR: 0.0846130, RMSE: 0.9456561, NOVELTY: 0.0056024, AVERAGE_POPULARITY: 0.4190226, DIVERSITY_MEAN_INTER_LIST: 0.9727004, DIVERSITY_HERFINDAHL: 0.9972640, COVERAGE_ITEM: 0.1032171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345393, SHANNON_ENTROPY: 9.2006869, 
SearchBayesianSkopt: New best config found. Config 23: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 16.565897516756586} - results: ROC_AUC: 0.1137078, PRECISION: 0.0185705, PRECISION_RECALL_MIN_DEN: 0.0619015, RECALL: 0.0619015, MAP: 0.0296692, MRR: 0.0808198, NDCG: 0.0509007, F1: 0.0285699, HIT_RATE: 0.1857046, ARHR: 0.0848217, RMSE: 0.9457316, NOVELTY: 0.0056005, AVERAGE_POPULARITY: 0.4198594, DIVERSITY_MEAN_INTER_LIST: 0.9725484, DIVERSITY_HERFINDAHL: 0.9972488, COVERAGE_ITEM: 0.1026223, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345635, SHANNON_ENTROPY: 9.1925888, 
SearchBayesianSkopt: Config 24 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 16.719222028261587} - results: ROC_AUC: 0.1138890, PRECISION: 0.0186013, PRECISION_RECALL_MIN_DEN: 0.0620045, RECALL: 0.0620045, MAP: 0.0296518, MRR: 0.0809007, NDCG: 0.0509368, F1: 0.0286175, HIT_RATE: 0.1860135, ARHR: 0.0848366, RMSE: 0.9455907, NOVELTY: 0.0056034, AVERAGE_POPULARITY: 0.4187046, DIVERSITY_MEAN_INTER_LIST: 0.9727598, DIVERSITY_HERFINDAHL: 0.9972700, COVERAGE_ITEM: 0.1037578, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2342029, SHANNON_ENTROPY: 9.2055688, 
SearchBayesianSkopt: Config 25 is suboptimal. Config: {'num_factors': 493, 'regularization': 0.016492564545567467, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.10485546718062441} - results: ROC_AUC: 0.0727509, PRECISION: 0.0104281, PRECISION_RECALL_MIN_DEN: 0.0347604, RECALL: 0.0347604, MAP: 0.0194560, MRR: 0.0545220, NDCG: 0.0318056, F1: 0.0160433, HIT_RATE: 0.1042812, ARHR: 0.0564129, RMSE: 0.9905425, NOVELTY: 0.0061133, AVERAGE_POPULARITY: 0.1944378, DIVERSITY_MEAN_INTER_LIST: 0.9874554, DIVERSITY_HERFINDAHL: 0.9987394, COVERAGE_ITEM: 0.1019194, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3870094, SHANNON_ENTROPY: 9.9213945, 
SearchBayesianSkopt: Config 26 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 16.945406833802224} - results: ROC_AUC: 0.1135323, PRECISION: 0.0185952, PRECISION_RECALL_MIN_DEN: 0.0619839, RECALL: 0.0619839, MAP: 0.0296466, MRR: 0.0806911, NDCG: 0.0508896, F1: 0.0286080, HIT_RATE: 0.1859517, ARHR: 0.0847265, RMSE: 0.9454071, NOVELTY: 0.0056077, AVERAGE_POPULARITY: 0.4169676, DIVERSITY_MEAN_INTER_LIST: 0.9730824, DIVERSITY_HERFINDAHL: 0.9973022, COVERAGE_ITEM: 0.1044607, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2352998, SHANNON_ENTROPY: 9.2223901, 
SearchBayesianSkopt: Config 27 is suboptimal. Config: {'num_factors': 52, 'regularization': 0.013164607303371767, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 11.946741816990913} - results: ROC_AUC: 0.0786684, PRECISION: 0.0135603, PRECISION_RECALL_MIN_DEN: 0.0452009, RECALL: 0.0452009, MAP: 0.0192370, MRR: 0.0535644, NDCG: 0.0348150, F1: 0.0208619, HIT_RATE: 0.1356026, ARHR: 0.0555845, RMSE: 0.9260312, NOVELTY: 0.0054493, AVERAGE_POPULARITY: 0.4782872, DIVERSITY_MEAN_INTER_LIST: 0.9618876, DIVERSITY_HERFINDAHL: 0.9961828, COVERAGE_ITEM: 0.0591511, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2603974, SHANNON_ENTROPY: 8.5803239, 
SearchBayesianSkopt: Config 28 is suboptimal. Config: {'num_factors': 56, 'regularization': 88.41613220976845, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 4.775626962464377} - results: ROC_AUC: 0.0821070, PRECISION: 0.0140483, PRECISION_RECALL_MIN_DEN: 0.0468277, RECALL: 0.0468277, MAP: 0.0201752, MRR: 0.0564896, NDCG: 0.0363831, F1: 0.0216128, HIT_RATE: 0.1404831, ARHR: 0.0584760, RMSE: 0.9713504, NOVELTY: 0.0051340, AVERAGE_POPULARITY: 0.6648312, DIVERSITY_MEAN_INTER_LIST: 0.8740076, DIVERSITY_HERFINDAHL: 0.9873954, COVERAGE_ITEM: 0.0141119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2972742, SHANNON_ENTROPY: 6.6973346, 
SearchBayesianSkopt: Config 29 is suboptimal. Config: {'num_factors': 493, 'regularization': 0.014923661223594653, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 0.5775068944935638} - results: ROC_AUC: 0.0818590, PRECISION: 0.0118984, PRECISION_RECALL_MIN_DEN: 0.0396615, RECALL: 0.0396615, MAP: 0.0217584, MRR: 0.0607747, NDCG: 0.0357892, F1: 0.0183053, HIT_RATE: 0.1189844, ARHR: 0.0629883, RMSE: 0.9868947, NOVELTY: 0.0060877, AVERAGE_POPULARITY: 0.2069313, DIVERSITY_MEAN_INTER_LIST: 0.9893613, DIVERSITY_HERFINDAHL: 0.9989300, COVERAGE_ITEM: 0.1105164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4165892, SHANNON_ENTROPY: 10.1324446, 
SearchBayesianSkopt: Config 30 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 18.687914668607704} - results: ROC_AUC: 0.1134424, PRECISION: 0.0184469, PRECISION_RECALL_MIN_DEN: 0.0614897, RECALL: 0.0614897, MAP: 0.0295847, MRR: 0.0807330, NDCG: 0.0507077, F1: 0.0283798, HIT_RATE: 0.1844690, ARHR: 0.0846567, RMSE: 0.9441077, NOVELTY: 0.0056371, AVERAGE_POPULARITY: 0.4051769, DIVERSITY_MEAN_INTER_LIST: 0.9751540, DIVERSITY_HERFINDAHL: 0.9975094, COVERAGE_ITEM: 0.1120843, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2381457, SHANNON_ENTROPY: 9.3406335, 
SearchBayesianSkopt: Config 31 is suboptimal. Config: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 18.796356295185866} - results: ROC_AUC: 0.1130756, PRECISION: 0.0184963, PRECISION_RECALL_MIN_DEN: 0.0616544, RECALL: 0.0616544, MAP: 0.0295658, MRR: 0.0806185, NDCG: 0.0507175, F1: 0.0284559, HIT_RATE: 0.1849632, ARHR: 0.0845687, RMSE: 0.9440895, NOVELTY: 0.0056394, AVERAGE_POPULARITY: 0.4041793, DIVERSITY_MEAN_INTER_LIST: 0.9753320, DIVERSITY_HERFINDAHL: 0.9975272, COVERAGE_ITEM: 0.1129494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2380089, SHANNON_ENTROPY: 9.3508758, 
SearchBayesianSkopt: New best config found. Config 32: {'num_factors': 500, 'regularization': 100.0, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 18.879765001014476} - results: ROC_AUC: 0.1134887, PRECISION: 0.0184778, PRECISION_RECALL_MIN_DEN: 0.0615926, RECALL: 0.0615926, MAP: 0.0297103, MRR: 0.0810486, NDCG: 0.0508590, F1: 0.0284274, HIT_RATE: 0.1847779, ARHR: 0.0850033, RMSE: 0.9439886, NOVELTY: 0.0056395, AVERAGE_POPULARITY: 0.4044479, DIVERSITY_MEAN_INTER_LIST: 0.9752928, DIVERSITY_HERFINDAHL: 0.9975233, COVERAGE_ITEM: 0.1128954, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2386377, SHANNON_ENTROPY: 9.3527860, 
SearchBayesianSkopt: Config 33 is suboptimal. Config: {'num_factors': 497, 'regularization': 0.010932155169599021, 'epochs': 50, 'confidence_scaling': 'linear', 'alpha': 11.633113886820006} - results: ROC_AUC: 0.0920757, PRECISION: 0.0142522, PRECISION_RECALL_MIN_DEN: 0.0475073, RECALL: 0.0475073, MAP: 0.0245733, MRR: 0.0673838, NDCG: 0.0410466, F1: 0.0219264, HIT_RATE: 0.1425218, ARHR: 0.0704944, RMSE: 0.9650963, NOVELTY: 0.0060564, AVERAGE_POPULARITY: 0.2563800, DIVERSITY_MEAN_INTER_LIST: 0.9914201, DIVERSITY_HERFINDAHL: 0.9991359, COVERAGE_ITEM: 0.2097864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3127981, SHANNON_ENTROPY: 10.6783129, 
