SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 978, 'shrink': 988, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2269514, PRECISION: 0.0013691, PRECISION_RECALL_MIN_DEN: 0.0045638, RECALL: 0.0045638, MAP: 0.0014772, MRR: 0.0044060, NDCG: 0.0030729, F1: 0.0021064, HIT_RATE: 0.0136914, ARHR: 0.0044189, RMSE: nan, NOVELTY: 0.0048185, AVERAGE_POPULARITY: 0.1763072, DIVERSITY_MEAN_INTER_LIST: 0.9936922, DIVERSITY_HERFINDAHL: 0.9989563, COVERAGE_ITEM: 0.4547716, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1842903, SHANNON_ENTROPY: 10.7575470, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 19, 'shrink': 9, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2265014, PRECISION: 0.0012968, PRECISION_RECALL_MIN_DEN: 0.0043227, RECALL: 0.0043227, MAP: 0.0013733, MRR: 0.0040889, NDCG: 0.0028810, F1: 0.0019951, HIT_RATE: 0.0129682, ARHR: 0.0041044, RMSE: nan, NOVELTY: 0.0052080, AVERAGE_POPULARITY: 0.1633788, DIVERSITY_MEAN_INTER_LIST: 0.9964210, DIVERSITY_HERFINDAHL: 0.9994044, COVERAGE_ITEM: 0.7031630, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3342003, SHANNON_ENTROPY: 12.1964249, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 14, 'shrink': 992, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2260950, PRECISION: 0.0012390, PRECISION_RECALL_MIN_DEN: 0.0041299, RECALL: 0.0041299, MAP: 0.0012764, MRR: 0.0038293, NDCG: 0.0027167, F1: 0.0019061, HIT_RATE: 0.0123897, ARHR: 0.0038293, RMSE: nan, NOVELTY: 0.0051416, AVERAGE_POPULARITY: 0.1575214, DIVERSITY_MEAN_INTER_LIST: 0.9968782, DIVERSITY_HERFINDAHL: 0.9994795, COVERAGE_ITEM: 0.6523925, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.3060649, SHANNON_ENTROPY: 12.0883444, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 965, 'shrink': 27, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2262835, PRECISION: 0.0013547, PRECISION_RECALL_MIN_DEN: 0.0045156, RECALL: 0.0045156, MAP: 0.0013700, MRR: 0.0040449, NDCG: 0.0029252, F1: 0.0020841, HIT_RATE: 0.0135467, ARHR: 0.0040775, RMSE: nan, NOVELTY: 0.0048407, AVERAGE_POPULARITY: 0.1757457, DIVERSITY_MEAN_INTER_LIST: 0.9938445, DIVERSITY_HERFINDAHL: 0.9989813, COVERAGE_ITEM: 0.5165180, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1839804, SHANNON_ENTROPY: 10.8670269, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2277525, PRECISION: 0.0016584, PRECISION_RECALL_MIN_DEN: 0.0055280, RECALL: 0.0055280, MAP: 0.0016475, MRR: 0.0048106, NDCG: 0.0035417, F1: 0.0025514, HIT_RATE: 0.0165839, ARHR: 0.0048765, RMSE: nan, NOVELTY: 0.0047919, AVERAGE_POPULARITY: 0.1914997, DIVERSITY_MEAN_INTER_LIST: 0.9910861, DIVERSITY_HERFINDAHL: 0.9985284, COVERAGE_ITEM: 0.4743444, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1889750, SHANNON_ENTROPY: 10.7278620, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 974, 'shrink': 967, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2271539, PRECISION: 0.0016632, PRECISION_RECALL_MIN_DEN: 0.0055440, RECALL: 0.0055440, MAP: 0.0014431, MRR: 0.0042651, NDCG: 0.0033300, F1: 0.0025588, HIT_RATE: 0.0166321, ARHR: 0.0042972, RMSE: nan, NOVELTY: 0.0047499, AVERAGE_POPULARITY: 0.2129412, DIVERSITY_MEAN_INTER_LIST: 0.9858913, DIVERSITY_HERFINDAHL: 0.9976753, COVERAGE_ITEM: 0.5139227, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1832429, SHANNON_ENTROPY: 10.4643705, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 21, 'shrink': 962, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2288068, PRECISION: 0.0017693, PRECISION_RECALL_MIN_DEN: 0.0058976, RECALL: 0.0058976, MAP: 0.0018868, MRR: 0.0055539, NDCG: 0.0039318, F1: 0.0027220, HIT_RATE: 0.0176927, ARHR: 0.0056072, RMSE: nan, NOVELTY: 0.0048710, AVERAGE_POPULARITY: 0.2070575, DIVERSITY_MEAN_INTER_LIST: 0.9940559, DIVERSITY_HERFINDAHL: 0.9990160, COVERAGE_ITEM: 0.5249527, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2241999, SHANNON_ENTROPY: 11.2291849, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 6, 'shrink': 18, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.2265651, PRECISION: 0.0012872, PRECISION_RECALL_MIN_DEN: 0.0042906, RECALL: 0.0042906, MAP: 0.0014178, MRR: 0.0042067, NDCG: 0.0029168, F1: 0.0019803, HIT_RATE: 0.0128718, ARHR: 0.0042301, RMSE: nan, NOVELTY: 0.0052255, AVERAGE_POPULARITY: 0.1420134, DIVERSITY_MEAN_INTER_LIST: 0.9962044, DIVERSITY_HERFINDAHL: 0.9993688, COVERAGE_ITEM: 0.6948364, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2885321, SHANNON_ENTROPY: 11.9910678, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.2273702, PRECISION: 0.0013257, PRECISION_RECALL_MIN_DEN: 0.0044192, RECALL: 0.0044192, MAP: 0.0015972, MRR: 0.0047274, NDCG: 0.0031577, F1: 0.0020396, HIT_RATE: 0.0132575, ARHR: 0.0047595, RMSE: nan, NOVELTY: 0.0051256, AVERAGE_POPULARITY: 0.1473783, DIVERSITY_MEAN_INTER_LIST: 0.9952880, DIVERSITY_HERFINDAHL: 0.9992183, COVERAGE_ITEM: 0.5572317, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.2558818, SHANNON_ENTROPY: 11.5738004, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 966, 'shrink': 6, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.2269303, PRECISION: 0.0015523, PRECISION_RECALL_MIN_DEN: 0.0051744, RECALL: 0.0051744, MAP: 0.0014687, MRR: 0.0043253, NDCG: 0.0032397, F1: 0.0023882, HIT_RATE: 0.0155233, ARHR: 0.0043658, RMSE: nan, NOVELTY: 0.0047809, AVERAGE_POPULARITY: 0.1964863, DIVERSITY_MEAN_INTER_LIST: 0.9878042, DIVERSITY_HERFINDAHL: 0.9979895, COVERAGE_ITEM: 0.4985131, COVERAGE_USER: 0.7803596, DIVERSITY_GINI: 0.1823063, SHANNON_ENTROPY: 10.5669390, 
